"gene","average_expression","expression_prop"
"GALGAL-R08465",1.78663108263623e+260,0.00916104146576664
"GALGAL-R04179",7.28668845746773e+206,1
"GALGAL-R13931",2.97255573351914e+205,0.596432015429122
"GALGAL-R08432",2.18033292703795e+187,0.0101253616200579
"GALGAL-R16083",1.40960081272103e+151,1
"GALGAL-R05108",4.79135656630255e+148,0.999517839922854
"GALGAL-R16931",2.55109137588902e+142,0.0998071359691418
"GALGAL-R12892",4.78976995981135e+136,0.0414657666345227
"GALGAL-R13725",9.36952374709469e+135,0.00433944069431051
"GALGAL-R03230",7.58437205762121e+114,1
"GALGAL-R10616",9.91776396719219e+102,0.694310511089682
"GALGAL-R12468",1.0037599584478e+99,0.00867888138862102
"GALGAL-R12335",9.69205263865651e+95,0.999035679845709
"GALGAL-R00514",2.27498312683714e+92,1
"GALGAL-R07807",1.02441186297972e+91,0.0332690453230473
"GALGAL-R02026",3.18868871751502e+88,0.607521697203472
"GALGAL-R08472",3.14788354403674e+86,0.753134040501447
"GALGAL-R09364",1.61665102653675e+82,0.999517839922854
"GALGAL-R12443",7.35117628860808e+81,0.999035679845709
"GALGAL-R01736",1.52034077263323e+79,0.16152362584378
"GALGAL-R05749",4.68534198538199e+78,0.0675024108003857
"GALGAL-R05140",1.75340367572033e+77,1
"GALGAL-R14882",3.78721968017703e+75,0.999517839922854
"GALGAL-R08727",5.36447758621611e+74,1
"GALGAL-R01519",1.92192397342415e+72,0.135969141755063
"GALGAL-R13449",4.82549264672461e+71,0.999517839922854
"GALGAL-R15129",7.66053884156948e+70,0.994214079074253
"GALGAL-R08210",3.52192041639259e+69,0.69672131147541
"GALGAL-R10662",2.06828419250179e+69,0.999035679845709
"GALGAL-R16479",1.25983162913862e+68,0.20443587270974
"GALGAL-R11383",2.61819678061027e+67,1
"GALGAL-R07053",1.48886767226361e+67,1
"GALGAL-R09369",1.89400732011887e+66,0.999517839922854
"GALGAL-R01741",8.41519417219125e+65,0.75168756027001
"GALGAL-R09516",1.28149153323777e+65,0.997107039537126
"GALGAL-R06040",6.50881983751289e+64,0.999517839922854
"GALGAL-R07772",2.08125188001256e+63,0.537126325940212
"GALGAL-R07681",2.05689924576048e+63,0.23625843780135
"GALGAL-R00049",3.69727026102551e+61,0.999035679845709
"GALGAL-R04414",1.58934607693787e+61,0.998553519768563
"GALGAL-R06202",6.7837582581164e+60,0.0848601735776278
"GALGAL-R11164",3.6481306491772e+60,0.997589199614272
"GALGAL-R12323",1.50810309860219e+60,0.998071359691418
"GALGAL-R03215",5.31324419709779e+59,0.998553519768563
"GALGAL-R06687",2.12558060579813e+59,0.999035679845709
"GALGAL-R14845",1.0117486182047e+59,0.631147540983607
"GALGAL-R12343",1.0117486180902e+59,0.1374156219865
"GALGAL-R03979",6.3209593758918e+58,0.0761812921890068
"GALGAL-R01865",5.93816004110436e+58,1
"GALGAL-R05650",2.11794515142481e+58,0.0573770491803279
"GALGAL-R09362",1.09766304844802e+58,0.0641272902603664
"GALGAL-R14376",5.60645218121252e+57,0.392960462873674
"GALGAL-R02017",4.63631794381247e+57,0.999517839922854
"GALGAL-R16371",2.35774146187655e+56,0.999035679845709
"GALGAL-R09043",1.03047758274676e+56,0.993249758919961
"GALGAL-R16413",5.72271308797826e+55,0.999035679845709
"GALGAL-R10967",2.84584814818446e+55,0.248794599807136
"GALGAL-R06692",1.9536763372449e+55,0.890549662487946
"GALGAL-R00155",1.07145748894987e+55,0.999035679845709
"GALGAL-R10256",1.99673962057772e+54,0.999035679845709
"GALGAL-R03480",1.013535780684e+54,0.984088717454195
"GALGAL-R03999",8.40012098179895e+53,0.999035679845709
"GALGAL-R12462",5.0783789040613e+53,0.998071359691418
"GALGAL-R02545",2.07313346694701e+53,0.999035679845709
"GALGAL-R05672",5.54261520264621e+52,0.998071359691418
"GALGAL-R06205",4.50724985534477e+52,0.999035679845709
"GALGAL-R02041",9.81358596706376e+51,0.998553519768563
"GALGAL-R06838",5.67202676998337e+51,0.999035679845709
"GALGAL-R08348",4.29309569113904e+51,0.757473481195757
"GALGAL-R15397",2.58648342315706e+51,0.998553519768563
"GALGAL-R12750",2.15577866574427e+51,0.409836065573771
"GALGAL-R13385",1.67696435223416e+51,0.999035679845709
"GALGAL-R11245",3.87413295468714e+50,0.313886210221794
"GALGAL-R00107",3.65211209844091e+50,0.350048216007715
"GALGAL-R00098",1.49725681520856e+50,0.998553519768563
"GALGAL-R09595",1.26925699486806e+50,0.999035679845709
"GALGAL-R14865",7.81868298797699e+49,0.288331726133076
"GALGAL-R00142",3.04101443220542e+49,0.998071359691418
"GALGAL-R08816",1.13953480128637e+48,0.996624879459981
"GALGAL-R00387",9.667088992693e+47,0.604146576663452
"GALGAL-R15328",3.56483263757526e+46,0.998553519768563
"GALGAL-R09958",3.00019199430192e+46,0.998553519768563
"GALGAL-R07880",1.70685670996842e+46,0.0279652844744455
"GALGAL-R13655",1.65152812672389e+46,0.996142719382835
"GALGAL-R10421",7.17542955024708e+44,0.996624879459981
"GALGAL-R01580",3.12916012770533e+44,0.370781099324976
"GALGAL-R08971",2.67392404028927e+44,0.259884281581485
"GALGAL-R02700",2.1307607691578e+44,0.997589199614272
"GALGAL-R10841",6.14917053776042e+43,0.999035679845709
"GALGAL-R08773",1.19636634389694e+43,0.0568948891031823
"GALGAL-R16945",6.68858404162042e+42,0.997589199614272
"GALGAL-R13164",2.50571456282891e+42,0.999035679845709
"GALGAL-R08453",1.41335080154842e+42,0.997589199614272
"GALGAL-R07201",1.16120684075795e+42,0.588717454194793
"GALGAL-R13546",1.0303972579524e+42,0.0274831243972999
"GALGAL-R06612",8.36026415437684e+41,0.999517839922854
"GALGAL-R12073",2.23976765064614e+41,0.998071359691418
"GALGAL-R07712",8.93872060937102e+40,0.997107039537126
"GALGAL-R15133",8.50147463054173e+40,0.0327868852459016
"GALGAL-R06889",8.25207990609603e+40,0.351494696239151
"GALGAL-R02743",6.96966777051388e+40,0.999035679845709
"GALGAL-R11558",3.33447895650016e+39,0.998071359691418
"GALGAL-R10782",2.93774951989275e+39,0.0188042430086789
"GALGAL-R14098",2.00109080996975e+39,0.998071359691418
"GALGAL-R14082",1.74266244862042e+39,0.151880424300868
"GALGAL-R10077",2.38134838047599e+38,0.125361620057859
"GALGAL-R05616",2.0952469678405e+38,0.110896817743491
"GALGAL-R13226",1.83315168119725e+38,0.992767598842816
"GALGAL-R15083",1.60708142826196e+38,1
"GALGAL-R03327",1.43689705543842e+38,0.410800385728062
"GALGAL-R04136",8.87220212943406e+37,0.116200578592093
"GALGAL-R01656",3.55220173644736e+37,0.726133076181292
"GALGAL-R15252",3.42582874934325e+37,0.870781099324976
"GALGAL-R01127",1.8995193832077e+37,0.996142719382835
