gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,logP,Signif,Difference
GALGAL-R11783,1.85932843086902e-24,0.27278241987586,0.678,0.602,2.78490212375562e-20,19.5551900636356,upregulated,0.0760000000000001
GALGAL-R14620,1.90748166258267e-24,0.336738777798832,0.442,0.359,2.85702603421632e-20,19.5440858021566,upregulated,0.083
GALGAL-R16228,2.05397417580859e-24,-1.92141757830496,0.009,0.03,3.0764425205261e-20,19.5119511947484,downregulated,-0.021
GALGAL-R11359,2.07303923781622e-24,0.90781953190252,0.117,0.065,3.10499817040113e-20,19.5079386513924,upregulated,0.052
GALGAL-R05247,2.23147220981756e-24,0.934271704301834,0.1,0.052,3.34229907586473e-20,19.4759546911314,upregulated,0.048
GALGAL-R02955,2.28204515860133e-24,0.15059018059033,0.876,0.84,3.41804723855307e-20,19.4662219394792,not significant,0.036
GALGAL-R15316,2.33982752897659e-24,-0.981346323034322,0.042,0.081,3.50459367290114e-20,19.4553623274395,downregulated,-0.039
GALGAL-R09552,2.34938360828123e-24,0.408944171801864,0.406,0.329,3.51890676848362e-20,19.4535922394079,upregulated,0.077
GALGAL-R16631,2.37471188642032e-24,0.687990350240533,0.168,0.107,3.55684346348036e-20,19.4489352476741,upregulated,0.061
GALGAL-R04429,2.44724217692965e-24,0.390440691503163,0.418,0.339,3.66547933260523e-20,19.4358692248718,upregulated,0.079
GALGAL-R07594,2.5036523342688e-24,0.51132985355552,0.27,0.196,3.7499704662678e-20,19.4259721526423,upregulated,0.074
GALGAL-R12649,2.55603345972374e-24,0.72944403107379,0.146,0.088,3.82842691597421e-20,19.4169796390995,upregulated,0.058
GALGAL-R05453,2.7108536041671e-24,-0.643210161231381,0.223,0.291,4.06031652832148e-20,19.3914401089979,downregulated,-0.068
GALGAL-R14847,2.88445130166323e-24,-1.93903821087428,0.017,0.045,4.32033115963119e-20,19.3644829626091,downregulated,-0.028
GALGAL-R03188,3.0049746757305e-24,0.719679920505023,0.151,0.092,4.50085106930914e-20,19.3467053573897,upregulated,0.059
GALGAL-R04674,3.01412834857925e-24,0.197781889764125,0.561,0.461,4.514561440502e-20,19.3453844321103,not significant,0.1
GALGAL-R14799,3.0345861628165e-24,0.382825025511774,0.456,0.379,4.54520315466655e-20,19.3424467005655,upregulated,0.077
GALGAL-R16334,3.27981568304405e-24,-0.350970230383528,0.574,0.637,4.91250793006337e-20,19.3086967355519,downregulated,-0.0630000000000001
GALGAL-R14376,3.28997891590874e-24,-1.00071689954731,0.314,0.377,4.92773042024811e-20,19.3073530590013,downregulated,-0.063
GALGAL-R13550,3.30523375314475e-24,-0.748715333987528,0.106,0.162,4.9505791154602e-20,19.3053439946144,downregulated,-0.056
GALGAL-R08749,3.44804026689731e-24,0.348864227757309,0.48,0.403,5.1644747117588e-20,19.2869738447902,upregulated,0.077
GALGAL-R10186,3.57002062091118e-24,0.441976309833544,0.338,0.261,5.34717688600077e-20,19.2718754490877,upregulated,0.077
GALGAL-R17310,3.64481389713791e-24,-0.389085681781858,0.343,0.421,5.45920225513316e-20,19.2628708154465,downregulated,-0.078
GALGAL-R15715,3.70712918230441e-24,0.652007725806793,0.174,0.111,5.55253808925555e-20,19.2555084535995,upregulated,0.063
GALGAL-R12747,3.71752670351339e-24,0.486296068556892,0.216,0.146,5.56811149652236e-20,19.2542920769464,upregulated,0.07
GALGAL-R15923,3.84763788914424e-24,0.354058594155645,0.348,0.267,5.76299203036024e-20,19.2393519810039,upregulated,0.081
GALGAL-R17545,4.01662642390551e-24,-1.52136696338248,0.014,0.04,6.01610305772567e-20,19.2206847327525,downregulated,-0.026
GALGAL-R08174,4.03800773911299e-24,-0.42294924366064,0.35,0.424,6.04812799164343e-20,19.2183790267866,downregulated,-0.074
GALGAL-R12075,4.17771819107292e-24,0.587972085694255,0.208,0.142,6.25738630658902e-20,19.2036070325499,upregulated,0.066
GALGAL-R02056,4.18513887966462e-24,0.691183603738473,0.129,0.074,6.26850101396166e-20,19.2028362995514,upregulated,0.055
GALGAL-R16443,4.63681170049321e-24,0.662967097071344,0.188,0.125,6.94501656499873e-20,19.1583267140619,upregulated,0.063
GALGAL-R10181,4.75799578636992e-24,-0.914232996114501,0.137,0.195,7.12652608882487e-20,19.1471221206546,downregulated,-0.058
GALGAL-R11045,4.99811316984199e-24,1.14680734423024,0.083,0.039,7.48617390578933e-20,19.1257400883293,upregulated,0.044
GALGAL-R04431,5.07025923050089e-24,-1.84272410668919,0.016,0.043,7.59423427544423e-20,19.119516009387,downregulated,-0.027
GALGAL-R11524,5.16022525084856e-24,0.496227471495291,0.235,0.164,7.72898538072097e-20,19.1118775141639,upregulated,0.071
GALGAL-R02250,5.19725421856359e-24,-0.741730417603473,0.101,0.156,7.78444736856455e-20,19.1087722133209,downregulated,-0.055
GALGAL-R06440,5.26298936376579e-24,-1.79075148460858,0.038,0.075,7.8829054690484e-20,19.1033136814184,downregulated,-0.037
GALGAL-R05001,5.74565352782478e-24,0.923750011994749,0.108,0.058,8.60583985397596e-20,19.0652067399618,upregulated,0.05
GALGAL-R14013,5.78649430088737e-24,-0.32077619425863,0.63,0.687,8.6670111638691e-20,19.0621306440265,downregulated,-0.0570000000000001
GALGAL-R02050,6.18653092448079e-24,-1.27233598226692,0.021,0.051,9.26618601868733e-20,19.0330989855835,downregulated,-0.03
GALGAL-R16066,6.20979503667317e-24,-0.487910329297505,0.288,0.36,9.30103100592908e-20,19.0314689078581,downregulated,-0.072
GALGAL-R10523,6.39535998412059e-24,1.22046438595555,0.081,0.038,9.57897018421582e-20,19.0186811785366,upregulated,0.043
GALGAL-R10231,6.48116964540358e-24,0.555361009079613,0.195,0.129,9.70749589488548e-20,19.0128927844367,upregulated,0.066
GALGAL-R13405,6.89546377375088e-24,0.388376893050339,0.237,0.164,1.03280256403241e-19,18.9859826925622,upregulated,0.073
GALGAL-R11952,7.00788652935077e-24,0.35123661919226,0.449,0.369,1.04964124436616e-19,18.9789591125638,upregulated,0.08
GALGAL-R15918,7.06969650994806e-24,-2.64366278773914,0.003,0.02,1.05889914326002e-19,18.9751454030762,downregulated,-0.017
GALGAL-R17295,8.07272796708359e-24,-0.779717028070583,0.104,0.158,1.20913319490978e-19,18.9175258557743,downregulated,-0.054
GALGAL-R16020,8.13000630788621e-24,0.377918193356704,0.343,0.264,1.2177123447952e-19,18.9144552911961,upregulated,0.079
GALGAL-R08811,8.33629476788957e-24,-2.60625972230886,0.008,0.029,1.2486102303345e-19,18.9035731110517,downregulated,-0.021
GALGAL-R02619,8.57311913445147e-24,0.673596571341962,0.179,0.117,1.28408178395814e-19,18.8914073149038,upregulated,0.062
GALGAL-R00379,9.17732003018915e-24,-2.5338985951911,0.006,0.025,1.37457899412173e-19,18.8618302971262,downregulated,-0.019
GALGAL-R02441,9.59312584251052e-24,-0.560591762067543,0.173,0.239,1.43685838869123e-19,18.8425860321723,downregulated,-0.066
GALGAL-R16615,9.69617504419481e-24,0.345059947129028,0.36,0.279,1.4522930981195e-19,18.8379457265765,upregulated,0.081
GALGAL-R06400,9.84067143712822e-24,0.575921362061261,0.183,0.12,1.47393576785306e-19,18.8315214420365,upregulated,0.063
GALGAL-R03143,1.0215799505778e-23,1.07319766225338,0.089,0.044,1.53012244997544e-19,18.815273812829,upregulated,0.045
GALGAL-R07324,1.05093899216261e-23,-0.853076079062423,0.082,0.132,1.57409642246116e-19,18.8029686681268,downregulated,-0.05
GALGAL-R17151,1.1373813256629e-23,1.70766247797798,0.042,0.012,1.7035697495779e-19,18.7686400803311,upregulated,0.03
GALGAL-R16432,1.23288488395789e-23,-0.704755169932229,0.136,0.196,1.84661497919213e-19,18.7336236458933,downregulated,-0.06
GALGAL-R08270,1.30617859403872e-23,0.326556251261674,0.388,0.305,1.9563942981512e-19,18.7085436115863,upregulated,0.083
GALGAL-R01282,1.32370675320401e-23,-4.97077112173218,0,0.011,1.98264797494896e-19,18.7027543892282,downregulated,-0.011
GALGAL-R08104,1.4028956758769e-23,0.16704407373423,0.814,0.773,2.10125714332842e-19,18.6775207971442,not significant,0.0409999999999999
GALGAL-R16435,1.430476634056e-23,0.454835862660603,0.282,0.206,2.14256790248907e-19,18.6690654054799,upregulated,0.076
GALGAL-R04486,1.45936526831934e-23,0.622422404416949,0.178,0.116,2.18583729888871e-19,18.6603821675576,upregulated,0.062
GALGAL-R14629,1.54949500904611e-23,0.622410664042995,0.151,0.093,2.32083362454926e-19,18.634355992043,upregulated,0.058
GALGAL-R11288,1.62810861405976e-23,0.604202084432858,0.206,0.141,2.43858108213871e-19,18.6128627996623,upregulated,0.065
GALGAL-R04478,1.65385957907061e-23,-0.798353719581375,0.118,0.174,2.47715087753196e-19,18.6060475407359,downregulated,-0.056
GALGAL-R10130,1.66984235844129e-23,0.419624501054277,0.313,0.235,2.50108988447336e-19,18.601870700261,upregulated,0.078
GALGAL-R05176,1.70602377552285e-23,0.501567590968317,0.236,0.166,2.55528241097813e-19,18.5925610944523,upregulated,0.07
GALGAL-R12024,1.79294561568271e-23,0.681539853849545,0.165,0.105,2.68547394316956e-19,18.5709790571751,upregulated,0.06
GALGAL-R09283,1.81328500220916e-23,0.699512853545905,0.17,0.109,2.71593827630888e-19,18.5660801042601,upregulated,0.061
GALGAL-R12046,1.92160564947671e-23,1.16754759306343,0.068,0.029,2.87818094178622e-19,18.540881906873,upregulated,0.039
GALGAL-R13423,2.02335587501576e-23,0.6219592540935,0.198,0.133,3.0305824295986e-19,18.5184738990049,upregulated,0.065
GALGAL-R07417,2.02984095638359e-23,0.310444050413478,0.34,0.258,3.04029578447134e-19,18.5170841626693,upregulated,0.082
GALGAL-R16659,2.0975292947131e-23,0.758685615558772,0.138,0.083,3.14167937762128e-19,18.5028381387215,upregulated,0.055
GALGAL-R07303,2.14634419260177e-23,0.373778424552943,0.321,0.241,3.21479433167893e-19,18.4928468060909,upregulated,0.08
GALGAL-R03655,2.18843053139284e-23,0.895962347404358,0.099,0.052,3.2778312499202e-19,18.4844134086407,upregulated,0.047
GALGAL-R05282,2.20868823189231e-23,0.498396840990065,0.239,0.17,3.30817323372831e-19,18.4804117565311,upregulated,0.069
GALGAL-R13357,2.39096580662672e-23,0.174113133017204,0.751,0.668,3.5811885851655e-19,18.4459728084658,not significant,0.083
GALGAL-R09661,2.45929443251886e-23,0.846029971277763,0.109,0.059,3.68353120102675e-19,18.4337356471403,upregulated,0.05
GALGAL-R06992,2.47659702889722e-23,-1.03156398556476,0.036,0.073,3.70944702988226e-19,18.4306908261719,downregulated,-0.037
GALGAL-R15752,2.58693327402145e-23,-2.53740697464674,0.004,0.02,3.87470865782933e-19,18.411760946849,downregulated,-0.016
GALGAL-R04761,2.59103700450773e-23,0.382665015046109,0.377,0.297,3.88085522535168e-19,18.4110725582401,upregulated,0.08
GALGAL-R16293,2.90220316633531e-23,-0.900439965855098,0.086,0.137,4.34691990253703e-19,18.3618183621571,downregulated,-0.051
GALGAL-R04116,2.90711939234314e-23,0.471860765697277,0.273,0.2,4.35428342585155e-19,18.3610833055941,upregulated,0.073
GALGAL-R03679,2.91993314422903e-23,0.557097676156628,0.205,0.139,4.37347586342624e-19,18.3591732659397,upregulated,0.066
GALGAL-R05283,3.03145193565042e-23,0.459123957643824,0.273,0.2,4.5405087092172e-19,18.3428954869602,upregulated,0.073
GALGAL-R10448,3.06928515954759e-23,0.335504194779499,0.418,0.337,4.59717531197038e-19,18.3375089342376,upregulated,0.081
GALGAL-R01103,3.18461100281296e-23,0.469707340468285,0.225,0.156,4.76991036001326e-19,18.3214897824939,upregulated,0.069
GALGAL-R01491,3.30693913772519e-23,0.652094171126573,0.132,0.078,4.95313344048478e-19,18.3051199716974,upregulated,0.054
GALGAL-R05345,3.35603966245117e-23,0.440362632436479,0.296,0.221,5.02667620641936e-19,18.2987190889701,upregulated,0.075
GALGAL-R12719,3.40022975294572e-23,0.420881997278,0.255,0.181,5.0928641239621e-19,18.2930379105116,upregulated,0.074
GALGAL-R08860,3.47681577598122e-23,0.949620634210905,0.115,0.065,5.20757466926467e-19,18.2833644941662,upregulated,0.05
GALGAL-R08398,3.55979817815781e-23,0.526839489370766,0.221,0.154,5.33186571124478e-19,18.2731207972927,upregulated,0.067
GALGAL-R03169,3.58018581737802e-23,0.752470753814825,0.129,0.075,5.3624023172688e-19,18.2706406059415,upregulated,0.054
GALGAL-R01651,3.76933040289224e-23,-1.73095372044427,0.01,0.032,5.645703077452e-19,18.2482819662909,downregulated,-0.022
GALGAL-R06260,3.85856351039926e-23,0.484090646021361,0.264,0.192,5.77935642587601e-19,18.2381205207927,upregulated,0.072
GALGAL-R10949,3.92579919813663e-23,-1.05429447729446,0.055,0.097,5.88006203896905e-19,18.2306180917742,downregulated,-0.042
GALGAL-R08870,3.95092983344705e-23,-0.755117983624845,0.122,0.179,5.917702704537e-19,18.227846856854,downregulated,-0.057
GALGAL-R10432,3.98981285929636e-23,0.630275249602148,0.174,0.112,5.97594170065409e-19,18.2235936480079,upregulated,0.062
GALGAL-R00336,4.27561520421498e-23,0.622904063744161,0.197,0.133,6.4040164528732e-19,18.193547560984,upregulated,0.064
GALGAL-R03303,4.2863940500993e-23,0.821578598080642,0.107,0.059,6.42016100823873e-19,18.1924540803248,upregulated,0.048
GALGAL-R14247,4.39084223459672e-23,0.583760814782321,0.189,0.126,6.57660349897896e-19,18.181998340807,upregulated,0.063
GALGAL-R08108,4.64754967859636e-23,0.578778335693761,0.209,0.143,6.96109990860163e-19,18.1573221330194,upregulated,0.066
GALGAL-R05512,4.92001791426242e-23,0.366763805315832,0.428,0.353,7.36920283198225e-19,18.1325794896709,upregulated,0.075
GALGAL-R13505,4.94006532788731e-23,-2.22560884982673,0.008,0.028,7.39922984810961e-19,18.1308134816369,downregulated,-0.02
GALGAL-R10901,4.99265589115144e-23,0.716342530312964,0.146,0.09,7.47799999376663e-19,18.1262145395438,upregulated,0.056
GALGAL-R00986,5.09611964061704e-23,0.516733458284203,0.273,0.202,7.6329679977162e-19,18.1173065584548,upregulated,0.071
GALGAL-R02264,5.12156834149904e-23,0.496227096632263,0.248,0.178,7.67108506189726e-19,18.1151432014923,upregulated,0.07
GALGAL-R12405,5.26287846355137e-23,0.618276565168212,0.094,0.048,7.88273936270725e-19,18.1033228328446,upregulated,0.046
GALGAL-R08684,5.97934103213045e-23,0.63706054467823,0.207,0.143,8.95585699792499e-19,18.0478928496071,upregulated,0.064
GALGAL-R03213,6.18960618100384e-23,0.554751528870466,0.329,0.26,9.27079213790756e-19,18.0328831562089,upregulated,0.069
GALGAL-R09265,6.19107594475084e-23,0.515145668098874,0.239,0.17,9.27299355004781e-19,18.0327800422961,upregulated,0.069
GALGAL-R05466,6.32208446956108e-23,-1.51812130387882,0.015,0.041,9.46921811850859e-19,18.0236858795855,downregulated,-0.026
GALGAL-R01033,6.42053800757452e-23,-0.646248960872852,0.143,0.203,9.61668182774511e-19,18.016974752545,downregulated,-0.06
GALGAL-R05823,6.69304795972821e-23,0.92400410239515,0.097,0.051,1.00248472340809e-18,17.9989222367528,upregulated,0.046
GALGAL-R06376,6.79764120353247e-23,0.698561418002491,0.164,0.105,1.01815069946509e-18,17.9921879360441,upregulated,0.059
GALGAL-R03455,6.8943324160732e-23,1.32233746317294,0.064,0.027,1.03263310927944e-18,17.9860539542967,upregulated,0.037
GALGAL-R11911,7.24176075032891e-23,0.532775826146615,0.228,0.16,1.08467092518426e-18,17.9647020010355,upregulated,0.068
GALGAL-R06632,7.29681286464078e-23,0.558284325449445,0.196,0.132,1.0929166308659e-18,17.9614129653475,upregulated,0.064
GALGAL-R16045,8.06446300275849e-23,-1.33728492807599,0.021,0.05,1.20789526855317e-18,17.9179707199047,downregulated,-0.029
GALGAL-R02033,8.45320749225416e-23,-1.23205986564581,0.03,0.064,1.26612141818983e-18,17.8975246444598,downregulated,-0.034
GALGAL-R06447,8.61741456527165e-23,0.69354538667766,0.145,0.089,1.29071635358639e-18,17.8891691873284,upregulated,0.056
GALGAL-R02294,9.43763604402881e-23,0.76243896524534,0.113,0.063,1.41356912667464e-18,17.8496829486889,upregulated,0.05
GALGAL-R03470,9.55119495103263e-23,0.74012465335513,0.13,0.077,1.43057797976567e-18,17.844488464137,upregulated,0.053
GALGAL-R11376,9.72490574766707e-23,0.34107711426983,0.37,0.288,1.45659638288557e-18,17.8366607728486,upregulated,0.082
GALGAL-R07710,9.77283530345239e-23,0.515077931167111,0.215,0.148,1.4637752717511e-18,17.8345255938582,upregulated,0.067
GALGAL-R05986,9.79119301786553e-23,-1.87218490201013,0.007,0.026,1.4665248902159e-18,17.8337105616697,downregulated,-0.019
GALGAL-R08942,9.99707863665831e-23,-1.8424741339318,0.033,0.067,1.49736243819868e-18,17.8246730654832,downregulated,-0.034
GALGAL-R03692,9.99940109947248e-23,0.426818911926709,0.331,0.255,1.49771029667899e-18,17.8245721844478,upregulated,0.076
GALGAL-R00921,1.09416926273334e-22,-0.326549939782454,0.522,0.599,1.638846721722e-18,17.7854616632832,downregulated,-0.077
GALGAL-R00633,1.12928810380582e-22,0.433446278150452,0.309,0.235,1.69144772188035e-18,17.771741420548,upregulated,0.074
GALGAL-R02601,1.17521631138107e-22,1.55961747974812,0.052,0.019,1.76023899118656e-18,17.7544283631477,upregulated,0.033
GALGAL-R05434,1.2368903062057e-22,0.472430270485726,0.225,0.157,1.85261430063489e-18,17.7322149878811,upregulated,0.068
GALGAL-R03517,1.25433158587001e-22,0.750726861191862,0.132,0.079,1.8787378493161e-18,17.7261338151832,upregulated,0.053
GALGAL-R05223,1.38794178075396e-22,0.65920285256152,0.152,0.095,2.07885919921328e-18,17.6821749243652,upregulated,0.057
GALGAL-R05799,1.39883791358646e-22,0.346157177589083,0.465,0.392,2.09517942696979e-18,17.6787787789955,upregulated,0.073
GALGAL-R09413,1.42155138133262e-22,-0.86633217576469,0.087,0.136,2.12919965896e-18,17.6717836120615,downregulated,-0.049
GALGAL-R13962,1.43881459003174e-22,-1.02842452922305,0.042,0.08,2.15505649294954e-18,17.6665413406983,downregulated,-0.038
GALGAL-R12052,1.45915724972196e-22,-0.367692069861699,0.406,0.481,2.18552572863355e-18,17.6604440765055,downregulated,-0.075
GALGAL-R00773,1.4631318568794e-22,0.604349902553051,0.207,0.142,2.19147889523396e-18,17.6592627074091,upregulated,0.065
GALGAL-R15708,1.47383738881303e-22,0.424124537940939,0.333,0.256,2.20751364096415e-18,17.6560966040914,upregulated,0.077
GALGAL-R01429,1.53379182294561e-22,-0.538578680289636,0.171,0.235,2.29731339240794e-18,17.6387797556498,downregulated,-0.064
GALGAL-R15886,1.56527862489748e-22,-0.655327395395791,0.098,0.152,2.34447432437145e-18,17.629954519097,downregulated,-0.054
GALGAL-R06527,1.59077122193636e-22,0.16365015676532,0.862,0.807,2.38265713621628e-18,17.622938448028,not significant,0.0549999999999999
GALGAL-R03754,1.67930136389792e-22,0.433237248155899,0.277,0.204,2.5152575828463e-18,17.5994175330412,upregulated,0.073
GALGAL-R01562,1.74289169786101e-22,0.449150905954666,0.295,0.222,2.61050318505622e-18,17.5832757725734,upregulated,0.073
GALGAL-R08440,1.75020528102578e-22,-0.397014483033493,0.383,0.456,2.62145746992042e-18,17.5814571838128,downregulated,-0.073
GALGAL-R00212,1.76656570311606e-22,0.558142381592052,0.194,0.13,2.64596211012724e-18,17.577416379151,upregulated,0.064
GALGAL-R05314,1.9638958725552e-22,1.13241953222741,0.074,0.034,2.94152323791318e-18,17.5314277163544,upregulated,0.04
GALGAL-R12225,2.02724073162083e-22,-2.1586931172496,0.008,0.028,3.03640116782168e-18,17.5176408502135,downregulated,-0.02
GALGAL-R14856,2.05631147190411e-22,0.391656980866159,0.434,0.364,3.07994332261798e-18,17.5114572753504,upregulated,0.07
GALGAL-R14689,2.05909939383086e-22,0.864029092742939,0.119,0.069,3.08411907207986e-18,17.5108688629982,upregulated,0.05
GALGAL-R00245,2.07963689835366e-22,-0.628115545477368,0.193,0.257,3.11488014635411e-18,17.5065586593671,downregulated,-0.064
GALGAL-R17256,2.13882938627738e-22,-1.49540896120512,0.024,0.054,3.20353865476625e-18,17.4943700313255,downregulated,-0.03
GALGAL-R04522,2.14285527780936e-22,0.645269008361,0.139,0.084,3.20956863510287e-18,17.4935533326989,upregulated,0.055
GALGAL-R16628,2.15882452250868e-22,-0.647668775176595,0.126,0.183,3.2334873698135e-18,17.4903288310926,downregulated,-0.057
GALGAL-R03462,2.16154492453436e-22,2.53535888898838,0.041,0.012,3.23756198796756e-18,17.4897819076135,upregulated,0.029
GALGAL-R08353,2.20019221040497e-22,0.798808484468235,0.12,0.07,3.29544789274456e-18,17.4820855509855,upregulated,0.05
GALGAL-R00056,2.4262997108113e-22,-1.71282673252296,0.018,0.044,3.63411170685317e-18,17.4396017272965,downregulated,-0.026
GALGAL-R15445,2.50897958732614e-22,0.24181622053839,0.511,0.429,3.75794962589709e-18,17.425049045774,not significant,0.082
GALGAL-R12429,2.5260200198955e-22,1.05527547367437,0.083,0.041,3.78347278579948e-18,17.4221093855287,upregulated,0.042
GALGAL-R16388,2.54400267036393e-22,1.34506299334403,0.055,0.021,3.81040719967109e-18,17.4190286109069,upregulated,0.034
GALGAL-R05009,2.68217630627676e-22,0.522738194801607,0.211,0.146,4.01736367154133e-18,17.3960588520138,upregulated,0.065
GALGAL-R01084,2.71017586938991e-22,0.66557072056089,0.168,0.109,4.0593014171722e-18,17.3915486996178,upregulated,0.059
GALGAL-R15817,2.80115833787032e-22,0.593362837737988,0.192,0.129,4.19557495846216e-18,17.3772085153651,upregulated,0.063
GALGAL-R12077,2.87857877687451e-22,0.888666047044123,0.102,0.056,4.31153529200264e-18,17.3653680546383,upregulated,0.046
GALGAL-R16770,2.88435931485796e-22,-2.36707205842944,0.004,0.019,4.32019338179425e-18,17.3644968127299,downregulated,-0.015
GALGAL-R02045,2.90927462717262e-22,0.582380961455353,0.187,0.125,4.35751153657915e-18,17.3607614544151,upregulated,0.062
GALGAL-R08991,2.99733411880763e-22,0.740527111883608,0.111,0.062,4.48940704315007e-18,17.347811016434,upregulated,0.049
GALGAL-R12380,3.13908976537067e-22,0.612983632250841,0.155,0.098,4.7017286505722e-18,17.3277424387925,upregulated,0.057
GALGAL-R10596,3.30322856828396e-22,0.459734119661122,0.312,0.238,4.94757574957571e-18,17.3056075478298,upregulated,0.074
GALGAL-R07693,3.35108651785938e-22,0.388266920827652,0.37,0.294,5.01925738644978e-18,17.2993605332184,upregulated,0.076
GALGAL-R05938,3.51044932803249e-22,0.798319032453246,0.118,0.068,5.25795100352706e-18,17.2791834652051,upregulated,0.05
GALGAL-R16518,3.61915343062269e-22,-0.44719079266054,0.207,0.276,5.42076800838667e-18,17.2659391787429,downregulated,-0.069
GALGAL-R01600,3.71415443327063e-22,0.566182576159561,0.203,0.139,5.56306051015275e-18,17.2546862161544,upregulated,0.064
GALGAL-R04992,3.73884306013369e-22,0.870667882754329,0.139,0.086,5.60003913546824e-18,17.2518089379476,upregulated,0.053
GALGAL-R01732,3.7441127154843e-22,-0.795999386522192,0.117,0.172,5.60793202525239e-18,17.2511972591706,downregulated,-0.055
GALGAL-R06608,3.75964361403992e-22,0.819740290162011,0.097,0.051,5.63119420510899e-18,17.2493994947238,upregulated,0.046
GALGAL-R11883,3.7742317108036e-22,-0.359857840517632,0.517,0.586,5.65304425644163e-18,17.2477176145305,downregulated,-0.069
GALGAL-R03644,3.84528661815895e-22,0.523818475042867,0.229,0.163,5.75947029667848e-18,17.2396174571685,upregulated,0.066
GALGAL-R06658,3.85051751819753e-22,-2.4461606191933,0.007,0.025,5.76730513875625e-18,17.2390270701649,downregulated,-0.018
GALGAL-R01982,4.00730356125539e-22,1.04430743080172,0.074,0.034,6.00213927404833e-18,17.2216939313955,upregulated,0.04
GALGAL-R00580,4.50342895278589e-22,0.501793852419581,0.204,0.14,6.74523588548271e-18,17.1710028581534,upregulated,0.064
GALGAL-R10233,4.79474993673901e-22,0.619382219871113,0.191,0.129,7.18157645524769e-18,17.1437802116539,upregulated,0.062
GALGAL-R14674,4.86833338483944e-22,-1.09624738007104,0.154,0.209,7.29178974381251e-18,17.1371658625649,downregulated,-0.055
GALGAL-R04676,4.95891966411756e-22,0.85932540979392,0.123,0.072,7.42746987291529e-18,17.1291591010932,upregulated,0.051
GALGAL-R16161,5.02679294537121e-22,0.853430716143407,0.12,0.07,7.529130473577e-18,17.1232551768315,upregulated,0.05
GALGAL-R14651,5.13711721691557e-22,0.863130954936985,0.098,0.052,7.69437416749614e-18,17.1138266983349,upregulated,0.046
GALGAL-R13188,5.23107622884281e-22,0.234100524226101,0.675,0.618,7.83510597556076e-18,17.1059551250039,not significant,0.0570000000000001
GALGAL-R15997,5.3570364189407e-22,0.721170407287802,0.145,0.09,8.02376914828938e-18,17.0956215748862,upregulated,0.055
GALGAL-R02203,5.58507705136018e-22,-1.70219352551129,0.018,0.045,8.36532840752728e-18,17.0775170047581,downregulated,-0.027
GALGAL-R16370,5.62934475173288e-22,0.325271573508163,0.397,0.319,8.43163256914551e-18,17.0740883272584,upregulated,0.078
GALGAL-R06301,5.83623576226765e-22,0.390211566585374,0.326,0.25,8.74151392472448e-18,17.0584133462883,upregulated,0.076
GALGAL-R12635,5.88460143974476e-22,0.746086397324967,0.128,0.076,8.8139560364497e-18,17.0548291200588,upregulated,0.052
GALGAL-R05083,6.01236219899574e-22,0.312114803159591,0.409,0.331,9.00531610165582e-18,17.0455010381143,upregulated,0.078
GALGAL-R12867,6.08449635086981e-22,0.419149398948657,0.315,0.241,9.1133586343328e-18,17.0403215387743,upregulated,0.074
GALGAL-R10699,6.2071547232839e-22,-0.927385776325165,0.063,0.107,9.29707634453463e-18,17.0316536027429,downregulated,-0.044
GALGAL-R14596,6.38246828289251e-22,0.401014776058613,0.215,0.148,9.5596609941164e-18,17.0195575084556,upregulated,0.067
GALGAL-R02603,6.66631505451334e-22,0.565611673432001,0.196,0.134,9.98480668865009e-18,17.000660338892,upregulated,0.062
GALGAL-R03755,6.71801587886238e-22,0.368843652301467,0.39,0.314,1.00622441833601e-17,16.9973051477339,upregulated,0.076
GALGAL-R07699,6.86308909837043e-22,-0.84833816005576,0.074,0.12,1.02795348515392e-17,16.9880265367007,downregulated,-0.046
GALGAL-R07251,7.46451225984986e-22,-1.42873554986858,0.02,0.047,1.11803464628031e-17,16.9515447380818,downregulated,-0.027
GALGAL-R04362,7.65073911049351e-22,-0.590797957272299,0.143,0.203,1.14592770396972e-17,16.9408427809353,downregulated,-0.06
GALGAL-R03934,7.82611939594276e-22,0.905140431706639,0.086,0.044,1.17219616312431e-17,16.9309997045008,upregulated,0.042
GALGAL-R10316,8.18126300626492e-22,0.660857459511284,0.099,0.053,1.22538957307836e-17,16.9117258194291,upregulated,0.046
GALGAL-R10686,8.49595144856085e-22,1.45012480775603,0.065,0.029,1.27252360796544e-17,16.8953341518486,upregulated,0.036
GALGAL-R09026,8.50821439123671e-22,1.17696274731896,0.072,0.034,1.27436035151943e-17,16.8947077489648,upregulated,0.038
GALGAL-R08103,8.72656005901487e-22,0.361091833457805,0.397,0.322,1.30706416563925e-17,16.8837030917622,upregulated,0.075
GALGAL-R12511,8.9639737343588e-22,0.60233502129919,0.172,0.113,1.34262398593226e-17,16.8720455984255,upregulated,0.059
GALGAL-R13347,9.76595451921342e-22,0.141110655840776,0.901,0.86,1.46274466788779e-17,16.8348314763389,not significant,0.041
GALGAL-R00723,1.02727156521561e-21,0.438500739522791,0.318,0.246,1.53864735037994e-17,16.8128609067011,upregulated,0.072
GALGAL-R01790,1.04692117075267e-21,0.283471746169172,0.566,0.499,1.56807852955336e-17,16.8046321915893,upregulated,0.0669999999999999
