gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,logP,Signif,Difference
GALGAL-R03230,0,0.311897185045637,1,1,0,Inf,upregulated,0
GALGAL-R16371,4.05605591735706e-305,-0.327457477946819,0.999,1,6.07516055301741e-301,300.216442240138,downregulated,-0.001
GALGAL-R03581,2.22229493781839e-304,0.435257207038669,0.997,0.986,3.32855335786438e-300,299.477744476765,upregulated,0.011
GALGAL-R08845,1.17840265929511e-301,0.646586045102487,0.954,0.866,1.76501150309222e-297,296.753252459844,upregulated,0.088
GALGAL-R11406,3.16471369708765e-301,-0.744506382173245,0.76,0.911,4.74010817549788e-297,296.324211747042,downregulated,-0.151
GALGAL-R01123,7.35194521098073e-300,-0.920718813786714,0.657,0.86,1.10117435370069e-295,294.958143911859,downregulated,-0.203
GALGAL-R10201,3.36176643278287e-299,0.891016112053808,0.823,0.604,5.03525376302219e-295,294.297978637304,upregulated,0.219
GALGAL-R12897,3.12320832111198e-298,-3.02447738506759,0.112,0.34,4.67794142336153e-294,293.329945220678,downregulated,-0.228
GALGAL-R03015,6.39310056392568e-294,-3.86199777423643,0.016,0.172,9.57558602464788e-290,289.018834637779,downregulated,-0.156
GALGAL-R09485,2.39842660597731e-289,0.549536968472921,0.988,0.932,3.59236337043281e-285,284.444619740548,upregulated,0.0559999999999999
GALGAL-R12318,4.3971802626202e-286,0.838337812600303,0.847,0.653,6.58609659735253e-282,281.181371903841,upregulated,0.194
GALGAL-R14254,9.770680786405e-285,-1.25716616777917,0.37,0.632,1.46345256818774e-280,279.834621348876,downregulated,-0.262
GALGAL-R10963,2.39361127245152e-277,-3.94138731495108,0.012,0.155,3.58515096387789e-273,272.445492552298,downregulated,-0.143
GALGAL-R01066,4.65088134523757e-276,0.799331709387104,0.849,0.668,6.96609007889683e-272,271.157010913955,upregulated,0.181
GALGAL-R04466,5.20293983828727e-274,-2.49504157156024,0.131,0.363,7.79296328978667e-270,269.108297369582,downregulated,-0.232
GALGAL-R00142,2.1933344732385e-273,-0.317122998265942,0.999,1,3.28517637401663e-269,268.483441309147,downregulated,-0.001
GALGAL-R04589,2.08476975587843e-272,0.667125600574443,0.906,0.754,3.12256814035471e-268,267.505488075722,upregulated,0.152
GALGAL-R10237,2.58851594967639e-266,3.74640036762789,0.243,0.019,3.87707918942529e-262,261.411495328428,upregulated,0.224
GALGAL-R08472,5.48818183601272e-266,-1.60618266262471,0.412,0.642,8.22019875397985e-262,261.085117681643,downregulated,-0.23
GALGAL-R12486,9.47748434387582e-263,-0.302241195886211,0.999,1,1.41953760502572e-258,257.847853098074,downregulated,-0.001
GALGAL-R03608,4.41370368413666e-262,1.00804066011066,0.706,0.452,6.61084537809988e-258,257.179743000489,upregulated,0.254
GALGAL-R15374,5.80448598420982e-258,0.716047630187524,0.877,0.722,8.69395910714947e-254,253.060782406885,upregulated,0.155
GALGAL-R03332,1.71927829151179e-256,0.619292176465061,0.916,0.776,2.57513502502636e-252,251.589199994162,upregulated,0.14
GALGAL-R13655,3.53836139232266e-249,0.313626426656229,1,1,5.29975769342088e-245,244.275743986025,upregulated,0
GALGAL-R05140,1.87648650757799e-248,0.286934341476685,0.999,1,2.81060149105032e-244,243.551200727679,upregulated,-0.001
GALGAL-R13931,5.03688926069951e-244,-1.73899263431488,0.27,0.509,7.54425273467572e-240,239.122383771035,downregulated,-0.239
GALGAL-R03857,2.4142378673654e-243,-1.54258344929217,0.172,0.407,3.6160454777399e-239,238.441766116192,downregulated,-0.235
GALGAL-R03215,1.24030611282528e-242,-0.378538748668343,0.999,1,1.8577304957897e-238,237.731017289632,downregulated,-0.001
GALGAL-R08193,1.51561064616275e-241,1.56482730494821,0.592,0.312,2.27008162582257e-237,236.643958526504,upregulated,0.28
GALGAL-R02041,4.07331613586708e-241,-0.277157086779551,0.999,1,6.10101290830171e-237,236.214598056142,downregulated,-0.001
GALGAL-R07281,8.55327771217412e-241,-1.41454244082247,0.502,0.665,1.28110993572944e-236,235.892413600597,downregulated,-0.163
GALGAL-R03999,1.45578157742874e-239,-0.250883165618254,0.999,1,2.18046964667277e-235,234.661449954565,downregulated,-0.001
GALGAL-R08210,2.7493744092615e-239,0.538587593578601,0.867,0.636,4.11801299019187e-235,234.385312287742,upregulated,0.231
GALGAL-R00958,2.20264209332858e-238,1.27946492287313,0.525,0.252,3.29911732738755e-234,233.48160223925,upregulated,0.273
GALGAL-R04131,1.13756579723053e-237,1.35338825832729,0.543,0.28,1.70384605109188e-233,232.768569647939,upregulated,0.263
GALGAL-R01666,2.50647688896585e-235,-1.47695740761796,0.248,0.486,3.75420108429305e-231,230.425482469205,downregulated,-0.238
GALGAL-R12633,5.87356479873574e-234,0.729766083049234,0.868,0.713,8.7974253555464e-230,229.055644409382,upregulated,0.155
GALGAL-R07924,2.436004774119e-232,-4.43430139815179,0.004,0.114,3.64864795067543e-228,227.437868038651,downregulated,-0.11
GALGAL-R14507,6.31283356806921e-230,0.661210304174722,0.894,0.801,9.45536211825407e-226,225.024321834038,upregulated,0.093
GALGAL-R06205,1.39841311670497e-228,-0.274899580120146,0.999,1,2.0945431662007e-224,223.678910684885,downregulated,-0.001
GALGAL-R05259,8.47246230478079e-228,0.701785177897546,0.825,0.646,1.26900540401007e-223,222.896536528475,upregulated,0.179
GALGAL-R04329,1.04984588134865e-227,-1.03692874521836,0.369,0.618,1.57245916108401e-223,222.803420624958,downregulated,-0.249
GALGAL-R16647,8.48190653231798e-227,-0.974563396236459,0.626,0.812,1.27041996041059e-222,221.896052691375,downregulated,-0.186
GALGAL-R11634,4.57847250593062e-226,-0.956872522031956,0.994,0.987,6.85763611938288e-222,221.16382556319,downregulated,0.00700000000000001
GALGAL-R04156,1.11443404427656e-225,-1.5226253106414,0.259,0.489,1.66919931151743e-221,220.777491803091,downregulated,-0.23
GALGAL-R15079,7.7825875362207e-225,-1.87833473604665,0.32,0.527,1.16567596117514e-220,219.933422159553,downregulated,-0.207
GALGAL-R00912,6.46758615768067e-224,0.909966985768252,0.676,0.414,9.6871505469741e-220,219.013803950886,upregulated,0.262
GALGAL-R13577,2.57031890606382e-223,1.23227407647715,0.515,0.255,3.8498236575024e-219,218.414559163044,upregulated,0.26
GALGAL-R10538,3.28100877845881e-223,-1.2444032739724,0.58,0.716,4.91429494837561e-219,218.308538781391,downregulated,-0.136
GALGAL-R12672,4.25198937190963e-223,1.72188714290505,0.39,0.142,6.36862968124624e-219,218.195954003441,upregulated,0.248
GALGAL-R06726,1.45287889958618e-222,1.06556391958192,0.614,0.359,2.17612201580019e-218,217.662316757272,upregulated,0.255
GALGAL-R00867,1.59975986832066e-218,-0.729950305547704,0.787,0.886,2.39612033077069e-214,213.6204913759,downregulated,-0.099
GALGAL-R03260,1.54688908828225e-217,0.844493389650839,0.729,0.482,2.31693047642916e-213,212.635086997784,upregulated,0.247
GALGAL-R00879,1.54817262241583e-216,-1.96579472759562,0.1,0.294,2.31885295385443e-212,211.63472679054,downregulated,-0.194
GALGAL-R14873,1.52433570597961e-213,0.913773054248669,0.677,0.452,2.28315002041626e-209,208.641465551104,upregulated,0.225
GALGAL-R03200,1.97626705912326e-213,1.03973855982546,0.604,0.362,2.96005280115482e-209,208.528700541966,upregulated,0.242
GALGAL-R11068,1.98050916763769e-211,0.826390681219106,0.736,0.525,2.96640663128774e-207,206.527769316686,upregulated,0.211
GALGAL-R11914,6.55163142191427e-211,0.88195796613283,0.718,0.515,9.8130335437432e-207,206.008196716611,upregulated,0.203
GALGAL-R11162,1.79035555888168e-210,-1.41435354679423,0.275,0.504,2.68159455609298e-206,205.57160688471,downregulated,-0.229
GALGAL-R01564,5.91968730781861e-208,0.675991284115823,0.852,0.703,8.86650764965072e-204,203.052247406904,upregulated,0.149
GALGAL-R08674,1.06652300256998e-206,-0.828614724988025,0.518,0.733,1.59743815324931e-202,201.79657594708,downregulated,-0.215
GALGAL-R12489,6.20247455888037e-205,-0.501326487294594,0.954,0.988,9.29006639429102e-201,200.031981182177,downregulated,-0.034
GALGAL-R10489,4.01572632227853e-204,1.722816354495,0.329,0.102,6.01475488550878e-200,199.220782066419,upregulated,0.227
GALGAL-R05306,9.25685818825073e-202,0.42341975744309,0.989,0.951,1.38649221943619e-197,196.858082563205,upregulated,0.038
GALGAL-R03855,5.47720152502449e-201,0.872206348882478,0.685,0.476,8.20375244418168e-197,196.085987453344,upregulated,0.209
GALGAL-R05011,5.67673747016621e-200,0.787803084286406,0.696,0.456,8.50261738281495e-196,195.070447363705,upregulated,0.24
GALGAL-R01974,3.12546809291717e-199,-4.31696974468302,0.005,0.103,4.68132610957134e-195,194.329631104086,downregulated,-0.098
GALGAL-R08727,9.37906039261679e-199,-0.233964836493342,0.999,1,1.40479566560614e-194,193.85238684142,not significant,-0.001
GALGAL-R01665,1.28180597853592e-198,-1.28259895752357,0.251,0.472,1.91988899465109e-194,193.716723880882,downregulated,-0.221
GALGAL-R17569,1.23682758460175e-197,-1.00650907871642,0.818,0.867,1.8525203562165e-193,192.732237011125,downregulated,-0.049
GALGAL-R14384,4.4888114663546e-196,-1.50002599929349,0.562,0.709,6.72334181430591e-192,191.172414808678,downregulated,-0.147
GALGAL-R05666,4.73865063591125e-196,0.480559161006674,0.94,0.86,7.09755092246787e-192,191.148891482879,upregulated,0.08
GALGAL-R00107,8.23278405771433e-194,-2.4873235754708,0.435,0.613,1.23310639616445e-189,188.908999449541,downregulated,-0.178
GALGAL-R06049,2.2575196500607e-189,1.11154136821605,0.56,0.322,3.38131293186091e-185,184.470914634531,upregulated,0.238
GALGAL-R03943,3.82619322083666e-189,-2.52170420962417,0.051,0.199,5.73087220616915e-185,184.241779275851,downregulated,-0.148
GALGAL-R09459,1.06729165497462e-188,-2.32366918002297,0.048,0.194,1.59858944082099e-184,183.796263060006,downregulated,-0.146
GALGAL-R01924,3.9344410131457e-188,0.834558102530694,0.691,0.485,5.89300574948962e-184,183.229663135187,upregulated,0.206
GALGAL-R05219,1.38825130001514e-184,0.964481443233448,0.608,0.39,2.07932279716268e-180,179.682078084914,upregulated,0.218
GALGAL-R05274,1.73947576395771e-184,-3.37338426870273,0.016,0.126,2.60538679925585e-180,179.58412779163,downregulated,-0.11
GALGAL-R09291,4.05396653219508e-182,0.349456280887317,0.992,0.964,6.07203107192178e-178,177.216666014726,upregulated,0.028
GALGAL-R03261,6.53505358870064e-181,1.12282367113708,0.506,0.275,9.78820326515583e-177,176.00929702052,upregulated,0.231
GALGAL-R13470,7.84446752176387e-181,1.91195343352166,0.289,0.086,1.17494434540979e-176,175.929982704502,upregulated,0.203
GALGAL-R02222,2.04509855293742e-180,0.954425994766591,0.526,0.288,3.06314861258967e-176,175.513831932328,upregulated,0.238
GALGAL-R05108,1.33408706711108e-179,0.214293250430598,1,1,1.99819560911897e-175,174.699361999692,not significant,0
GALGAL-R03117,6.28139680181174e-179,1.31799076811707,0.433,0.209,9.40827612975362e-175,174.026489944683,upregulated,0.224
GALGAL-R14964,1.87315795549288e-177,1.2687572119183,0.484,0.259,2.80561598573724e-173,172.551971772612,upregulated,0.225
GALGAL-R00121,3.52448058809914e-176,-0.867255537348172,0.436,0.649,5.27896702485489e-172,171.277451050817,downregulated,-0.213
GALGAL-R16222,5.95986030015118e-175,-2.61274276677434,0.031,0.154,8.92667875756643e-171,170.049310093805,downregulated,-0.123
GALGAL-R09947,4.8539295440179e-174,-1.53279508452624,0.29,0.484,7.27021567103001e-170,169.138452705599,downregulated,-0.194
GALGAL-R15926,9.12617160800478e-174,1.37457553974445,0.45,0.224,1.36691798344696e-169,168.864257542788,upregulated,0.226
GALGAL-R05325,2.78695442451134e-172,0.68072909892056,0.778,0.628,4.17430033703308e-168,167.379416307062,upregulated,0.15
GALGAL-R07537,1.45139582603754e-171,0.699140609367446,0.765,0.612,2.17390066823903e-167,166.662760303958,upregulated,0.153
GALGAL-R01975,2.26991499343329e-171,0.776569230448715,0.689,0.493,3.39987867716438e-167,166.468536580245,upregulated,0.196
GALGAL-R09536,3.13296927555286e-170,-1.22392010610169,0.506,0.657,4.69256138092307e-166,165.328590037892,downregulated,-0.151
GALGAL-R15328,9.96627978288386e-170,-0.238404188852857,0.999,1,1.49274938588034e-165,164.826013098816,not significant,-0.001
GALGAL-R16669,1.2134546244445e-169,0.780739502643813,0.695,0.504,1.81751233649298e-165,164.740522632655,upregulated,0.191
GALGAL-R13623,9.29905298240982e-168,-2.29939711523507,0.046,0.18,1.39281215570534e-163,162.856107451589,downregulated,-0.134
GALGAL-R13766,1.1104865152002e-167,-5.5833899653562,0.002,0.078,1.66328670246687e-163,162.779032884534,downregulated,-0.076
GALGAL-R15419,6.90834742459832e-167,0.667543412470745,0.789,0.652,1.03473227725634e-162,161.985172003396,upregulated,0.137
GALGAL-R05350,7.50203778339118e-167,0.939430641725733,0.572,0.352,1.12365521919633e-162,161.949366926641,upregulated,0.22
GALGAL-R04222,9.19086829163898e-166,-1.51389969979694,0.569,0.667,1.37660825272169e-161,160.861189631193,downregulated,-0.0980000000000001
GALGAL-R06818,4.14305794604406e-165,0.627956955609123,0.791,0.643,6.2054721915848e-161,160.207225166237,upregulated,0.148
GALGAL-R01976,7.4384123419862e-164,-1.51060363580703,0.169,0.357,1.11412540058269e-159,158.953065924318,downregulated,-0.188
GALGAL-R03082,8.34273840334638e-163,-5.22772247551413,0.002,0.077,1.24957535805322e-158,157.903237547781,downregulated,-0.075
GALGAL-R05063,1.63084651485227e-162,1.04210824991887,0.487,0.262,2.44268190994573e-158,157.612133083886,upregulated,0.225
GALGAL-R04275,2.33582919192738e-162,0.579742989666061,0.821,0.652,3.49860496366883e-158,157.456105092037,upregulated,0.169
GALGAL-R12039,6.95951157035491e-162,1.23930601981316,0.444,0.224,1.04239564300776e-157,156.98196741255,upregulated,0.22
GALGAL-R15793,9.54613897995985e-162,-0.545967291531649,0.957,0.972,1.42982069641839e-157,156.844718420884,downregulated,-0.015
GALGAL-R06802,3.54106171723604e-159,-0.287970433875613,0.998,1,5.30380224007614e-155,154.275412677598,downregulated,-0.002
GALGAL-R01305,5.86220898709637e-159,-4.76993484376218,0.003,0.08,8.78041662087294e-155,154.056484876821,downregulated,-0.077
GALGAL-R12027,1.10799401050186e-158,1.34120098450494,0.378,0.169,1.65955342892969e-154,153.780008761022,upregulated,0.209
GALGAL-R16945,3.29227085026125e-158,-0.280307400502481,0.997,0.999,4.93116327952131e-154,153.307050616974,downregulated,-0.002
GALGAL-R14312,9.58490114482002e-158,0.805921284014507,0.635,0.434,1.43562649347114e-153,152.842958535667,upregulated,0.201
GALGAL-R12221,8.16150258784429e-157,-1.88284178307831,0.131,0.299,1.22242985760732e-152,151.912776051082,downregulated,-0.168
GALGAL-R15939,3.92036034548911e-156,-1.45195788132646,0.327,0.517,5.8719157254736e-152,151.2312201861,downregulated,-0.19
GALGAL-R16877,1.01653816041255e-153,-0.228044779202646,0.999,1,1.52257085666591e-149,148.817422487238,not significant,-0.001
GALGAL-R03890,1.82608647577361e-152,-1.48297061614709,0.247,0.428,2.73511232341372e-148,147.563024833705,downregulated,-0.181
GALGAL-R06889,2.75276684049407e-152,0.426629255361748,0.468,0.246,4.12309417369201e-148,147.384776745565,upregulated,0.222
GALGAL-R08732,4.57795466934535e-152,1.25993869804107,0.339,0.139,6.85686050374546e-148,147.16387468575,upregulated,0.2
GALGAL-R03329,5.56580191766655e-152,0.742606429228299,0.698,0.502,8.33645811228096e-148,147.079018427662,upregulated,0.196
GALGAL-R09916,6.36547861489795e-152,-4.11279012660461,0.007,0.089,9.53421386939415e-148,147.020715110301,downregulated,-0.082
GALGAL-R05758,3.28777492870753e-151,0.550382412050363,0.831,0.698,4.92442928821814e-147,146.307644094372,upregulated,0.133
GALGAL-R02376,4.39431477614054e-151,-2.36313257274138,0.038,0.156,6.58180467170329e-147,146.181655010413,downregulated,-0.118
GALGAL-R17073,9.16497591006576e-151,-5.22277519917917,0.002,0.071,1.37273009180965e-146,145.862414845983,downregulated,-0.069
GALGAL-R01306,9.79461995556891e-151,-0.761784013486847,0.438,0.638,1.46703817694511e-146,145.833558584302,downregulated,-0.2
