"gene","average_expression","expression_prop"
"GALGAL-R13725",1.05659011930271e+302,0.00715488215488216
"GALGAL-R04719",2.00232343285745e+290,0.00715488215488216
"GALGAL-R05749",9.86927338788774e+185,0.0300925925925926
"GALGAL-R16913",3.87691079582841e+176,0.00736531986531987
"GALGAL-R01736",4.20539073614151e+154,0.347643097643098
"GALGAL-R14006",1.39159435757972e+134,0.975378787878788
"GALGAL-R03230",4.0910046983906e+132,1
"GALGAL-R05108",1.05114506648966e+125,1
"GALGAL-R08193",8.27553301134103e+112,0.65256734006734
"GALGAL-R08465",3.53073069458618e+110,0.00925925925925926
"GALGAL-R16083",2.82093351994429e+106,0.999579124579125
"GALGAL-R02026",1.4675012763815e+94,0.557449494949495
"GALGAL-R09364",4.13292859550736e+87,0.998526936026936
"GALGAL-R05844",4.26034628520984e+81,0.0195707070707071
"GALGAL-R14845",1.68185281889762e+76,0.793981481481482
"GALGAL-R03979",1.39691793583721e+70,0.199915824915825
"GALGAL-R08472",6.60216754884718e+67,0.426136363636364
"GALGAL-R16626",4.80715806383075e+64,0.309974747474747
"GALGAL-R14512",2.87964589285195e+62,0.937079124579125
"GALGAL-R03179",2.7301012897413e+58,0.218644781144781
"GALGAL-R07294",1.57267264685586e+57,0.0406144781144781
"GALGAL-R08971",1.3456377676113e+51,0.349537037037037
"GALGAL-R08210",2.20081075392919e+49,0.894360269360269
"GALGAL-R01519",8.64456859312813e+48,0.131734006734007
"GALGAL-R01741",1.00399783647184e+48,0.782407407407407
"GALGAL-R09946",1.99284542712713e+46,0.300084175084175
"GALGAL-R14376",2.70295050187432e+45,0.353745791245791
"GALGAL-R09065",2.05547803773157e+45,0.757575757575758
"GALGAL-R12489",6.34610998227418e+44,0.982112794612795
"GALGAL-R04129",6.12352529819152e+43,0.372895622895623
"GALGAL-R04136",4.51363497033988e+43,0.0444023569023569
"GALGAL-R03546",7.79174762867941e+42,0.496001683501683
"GALGAL-R12343",3.13722144390315e+40,0.142045454545455
"GALGAL-R08516",3.01897257793269e+40,0.118476430976431
"GALGAL-R06889",8.1877892188314e+39,0.685395622895623
"GALGAL-R03087",2.64840614056396e+39,0.893097643097643
"GALGAL-R03327",1.82788623292826e+39,0.472222222222222
"GALGAL-R10183",6.35361810795097e+38,0.728745791245791
"GALGAL-R07807",4.68208423928206e+37,0.00946969696969697
"GALGAL-R14827",2.01474116230564e+36,0.287878787878788
"GALGAL-R08278",1.72400177581673e+36,0.523569023569024
"GALGAL-R12623",7.39157385103094e+35,0.867845117845118
"GALGAL-R12371",4.43002638244149e+35,0.941498316498317
"GALGAL-R05509",4.19639555120582e+35,0.015993265993266
"GALGAL-R06692",2.16471540124248e+35,0.863846801346801
"GALGAL-R12396",1.92729900692066e+35,0.35753367003367
"GALGAL-R03787",5.9119344747657e+34,0.745791245791246
"GALGAL-R10417",2.88355012174977e+34,0.364267676767677
"GALGAL-R08914",9.70706585331732e+33,0.195707070707071
"GALGAL-R07575",7.15739180333293e+33,0.895412457912458
"GALGAL-R03555",1.40360523739678e+33,0.139099326599327
"GALGAL-R08348",1.27215516011259e+33,0.671717171717172
"GALGAL-R08909",4.52505076664535e+32,0.908459595959596
"GALGAL-R06202",3.46322446895358e+32,0.00505050505050505
"GALGAL-R14786",2.02567056364967e+31,0.46043771043771
"GALGAL-R01997",1.57353884379877e+31,0.195707070707071
"GALGAL-R10080",1.1500019937308e+31,0.222222222222222
"GALGAL-R15711",1.94004036760808e+30,0.234006734006734
"GALGAL-R14964",9.3544896518774e+29,0.535984848484849
"GALGAL-R02959",3.45362852834556e+29,0.0692340067340067
"GALGAL-R14246",1.67579419594643e+29,0.106271043771044
"GALGAL-R12044",1.48216439195931e+29,0.114267676767677
"GALGAL-R12750",6.42319487212333e+28,0.133838383838384
"GALGAL-R09283",5.19867414467951e+28,0.177819865319865
"GALGAL-R03657",4.90473933420726e+28,0.603956228956229
"GALGAL-R04037",4.59386562021585e+28,0.0338804713804714
"GALGAL-R15308",3.72541675440555e+28,0.743265993265993
"GALGAL-R15748",3.02813199031775e+28,0.295664983164983
"GALGAL-R01268",2.53522336193764e+28,0.168350168350168
"GALGAL-R15926",1.44014175090126e+28,0.502104377104377
"GALGAL-R05085",1.33972742486961e+28,0.153829966329966
"GALGAL-R03260",8.84787491747557e+27,0.790614478114478
"GALGAL-R08757",5.7009340122758e+27,0.708754208754209
"GALGAL-R14557",2.95299868867974e+27,0.368897306397306
"GALGAL-R05403",1.12591789454763e+27,0.25547138047138
"GALGAL-R07681",9.62605385521119e+26,0.226220538720539
"GALGAL-R03699",8.39125544307077e+26,0.26010101010101
"GALGAL-R15939",3.44139774806464e+26,0.28219696969697
"GALGAL-R10488",2.20535983099749e+26,0.161405723905724
"GALGAL-R01782",2.036731369696e+26,0.251893939393939
"GALGAL-R10142",1.17306197933191e+26,0.283249158249158
"GALGAL-R11147",1.02772665053678e+26,0.50736531986532
"GALGAL-R02390",9.09919072451217e+25,0.207491582491583
"GALGAL-R12700",5.17692522257824e+25,0.568813131313131
"GALGAL-R04125",1.24610924506607e+25,0.149621212121212
"GALGAL-R14627",8.8407002406023e+24,0.17276936026936
"GALGAL-R11783",7.85473892222842e+24,0.777777777777778
"GALGAL-R13370",3.35385538121554e+24,0.226220538720539
"GALGAL-R01599",3.34244255017664e+24,0.0896464646464646
"GALGAL-R05899",2.4230654384678e+24,0.766414141414141
"GALGAL-R10077",1.83462446701357e+24,0.083543771043771
"GALGAL-R08255",1.64096801627632e+24,0.0633417508417508
"GALGAL-R10632",1.24686944535195e+24,0.548400673400673
"GALGAL-R03817",1.24667315530865e+24,0.561658249158249
"GALGAL-R05450",1.24062432925369e+24,0.336279461279461
"GALGAL-R15772",1.22561586047488e+24,0.29776936026936
"GALGAL-R11234",1.02395398119971e+24,0.713804713804714
"GALGAL-R12384",2.3438668635359e+23,0.0246212121212121
"GALGAL-R01668",1.00769858193319e+23,0.107744107744108
"GALGAL-R13979",3.4167510359612e+22,0.113215488215488
"GALGAL-R05747",1.25105613426215e+22,0.133417508417508
"GALGAL-R03887",9.12911317678311e+21,0.0157828282828283
"GALGAL-R07827",6.79742207908253e+21,0.00989057239057239
"GALGAL-R04279",6.7506396774044e+21,0.562079124579125
"GALGAL-R09972",6.32187131688842e+21,0.363846801346801
"GALGAL-R12673",6.06548508991653e+21,0.573653198653199
"GALGAL-R08290",2.40417664094007e+21,0.134890572390572
"GALGAL-R08732",2.33974665053677e+21,0.458754208754209
"GALGAL-R06049",1.6103216162235e+21,0.581228956228956
"GALGAL-R05070",1.31737371774537e+21,0.0715488215488215
"GALGAL-R07065",1.20635252902454e+21,0.0204124579124579
"GALGAL-R03569",7.63591262204735e+20,0.371843434343434
"GALGAL-R04131",2.14071391832419e+20,0.575968013468014
"GALGAL-R00913",1.98285394343831e+20,0.115109427609428
"GALGAL-R01656",1.77372950468925e+20,0.574284511784512
"GALGAL-R12713",1.38654976296244e+20,0.248737373737374
"GALGAL-R10095",1.25420615487002e+20,0.139099326599327
"GALGAL-R16422",60870953598099406848,0.205597643097643
"GALGAL-R08270",28030163804744933376,0.380681818181818
"GALGAL-R10211",2.6008800715694e+19,0.075547138047138
"GALGAL-R15760",8762502410262393856,0.360690235690236
"GALGAL-R08591",8540224570256634880,0.41540404040404
"GALGAL-R03149",7426306723317372928,0.348274410774411
"GALGAL-R05090",6895840764275896320,0.41456228956229
"GALGAL-R11245",6496676038458585088,0.328493265993266
"GALGAL-R14149",5559031347206483968,0.11763468013468
"GALGAL-R05268",4916995188819425280,0.0502946127946128
"GALGAL-R11042",4729188939172783104,0.178872053872054
"GALGAL-R14755",3776414202147441152,0.00694444444444444
"GALGAL-R14080",773695364124095360,0.444234006734007
"GALGAL-R01289",633587714723692032,0.480429292929293
"GALGAL-R10840",551938059143770368,0.0191498316498316
"GALGAL-R15756",416964705884448512,0.0566077441077441
"GALGAL-R03462",379757971308601280,0.0589225589225589
"GALGAL-R05457",377871001953705792,0.358375420875421
"GALGAL-R10307",377355746347125760,0.0528198653198653
"GALGAL-R09102",325775675136682176,0.0736531986531987
"GALGAL-R14988",310738698234815168,0.256102693602694
"GALGAL-R02268",266234068817581728,0.261784511784512
"GALGAL-R10657",228784649316826240,0.128367003367003
"GALGAL-R00107",228146259488034080,0.272306397306397
"GALGAL-R14865",150528155599016448,0.290193602693603
"GALGAL-R16114",137509671636004880,0.0498737373737374
"GALGAL-R00379",135786086143272672,0.00505050505050505
"GALGAL-R16641",93749144986662208,0.345749158249158
"GALGAL-R16138",74532483515134640,0.137415824915825
"GALGAL-R07819",51485073990860304,0.0204124579124579
"GALGAL-R07160",46782134834619328,0.243265993265993
"GALGAL-R08370",23306887037482016,0.146043771043771
"GALGAL-R13563",20864897712284460,0.00378787878787879
"GALGAL-R14902",20590345955291856,0.0894360269360269
"GALGAL-R11001",19301318942288960,0.161195286195286
"GALGAL-R04298",16243463045124552,0.279671717171717
"GALGAL-R12405",16062049523463782,0.086489898989899
"GALGAL-R03779",7690207675674324,0.0635521885521886
"GALGAL-R16095",6237089269577010,0.549031986531986
"GALGAL-R08933",4388065674627430,0.0328282828282828
"GALGAL-R15052",3452930322374053,0.429924242424242
"GALGAL-R07222",3062955248345362,0.0862794612794613
"GALGAL-R01097",2976367912157308,0.0355639730639731
"GALGAL-R08141",2695606478193581,0.255260942760943
"GALGAL-R08631",1951982988597811,0.555555555555556
"GALGAL-R00147",1943556641032461,0.351641414141414
"GALGAL-R14744",1731364311547880,0.0204124579124579
"GALGAL-R07139",1233819322435278,0.0039983164983165
"GALGAL-R11002",532199562418770,0.0393518518518519
"GALGAL-R10691",423360505167222,0.371843434343434
"GALGAL-R08134",375966062976879,0.132786195286195
"GALGAL-R07859",361641121052589,0.0486111111111111
"GALGAL-R06571",344989266206420,0.372053872053872
"GALGAL-R04438",312690847391760,0.357323232323232
"GALGAL-R07772",173696196771417,0.188973063973064
"GALGAL-R05060",145895794707270,0.145412457912458
"GALGAL-R03758",141180553159023,0.292929292929293
"GALGAL-R12803",92709572270132.8,0.243265993265993
"GALGAL-R03228",88867196326878.7,0.31712962962963
"GALGAL-R06548",78156099414139.5,0.141835016835017
"GALGAL-R03532",65290675327396.5,0.103745791245791
"GALGAL-R12461",56238268927683.1,0.242845117845118
"GALGAL-R12876",54983178349719,0.180345117845118
"GALGAL-R03139",54543280907808,0.195496632996633
"GALGAL-R00837",52890948749032.1,0.239688552188552
"GALGAL-R12266",44788705616472.6,0.403619528619529
"GALGAL-R05624",40603673557265.7,0.261153198653199
"GALGAL-R08513",38146365458398.1,0.0345117845117845
"GALGAL-R03296",34660904343355.5,0.229587542087542
"GALGAL-R14890",33735628344986.9,0.176136363636364
"GALGAL-R07364",27784308717047.2,0.0138888888888889
