"","geneid","HH29_Beak","HH30_Beak","HH36_Beak","HH38_Beak"
"13254","GALGAL-R14841",0.0032543216448088,0.00369655466861035,0.00414243449483859,0.000566715642631611
"13255","GALGAL-R14842",0.00289273035094115,0.0020695413381692,0.00473752157948348,0.0118291277593921
"13256","GALGAL-R14843",6.77949505599105,37.3469059066745,11665.143408864,2.21631358039188
"13257","GALGAL-R14844",0.0479334083568028,0.112097904702988,4.3807728194251,2.12912808573531
"13258","GALGAL-R14845",1.40224720746716e+37,4.06656350125537e+66,2.19675088914962e+68,3.30982579358288e+72
"13259","GALGAL-R14846",3.19489843523628,1.49172774703912,4.7849238721269,6.57434001750518
"13260","GALGAL-R14847",0.0405229101758211,79.5369575983901,251.832246705144,29570995390.2866
"13261","GALGAL-R14848",0.19156479947498,0.12883464965566,0.188033295729641,0.13257126488569
"13262","GALGAL-R14849",1.62868835672581,1.0812425739615,32.3953953409119,2.46812028198891
"13263","GALGAL-R14850",0.087122311026001,0.110492375706597,0.0507942757490292,0.088401351566669
"13264","GALGAL-R14851",0.0419684558966751,0.0406500661374228,0.0608088623115277,0.0706453049574745
"13265","GALGAL-R14852",37.349613144588,4.16832569439737,8.99176114281158,0.264258812875498
"13266","GALGAL-R14853",0.369764606633324,0.155759339184278,0.58635245979817,0.335839206247855
"13267","GALGAL-R14854",18.743917369317,4.55284989920148,81.0905031521973,403.879243392004
"13268","GALGAL-R14855",2843.85184802472,148.217006633336,32.9272878570013,8733.47675612604
"13269","GALGAL-R14856",18.4479821863695,2.80047762414746,49.3585606349429,4.2043439648313
"13270","GALGAL-R14857",0.0193610086525916,0.0431475009595472,0.0344185781946032,0.0670977119771654
"13271","GALGAL-R14858",112.285351252475,19.0563299958606,2102.89054680051,28.3619121762616
"13272","GALGAL-R14859",0.00216954776320587,0,0.00331394759587087,0.00170014692789483
"13273","GALGAL-R14860",1.15813546181402,0.246545751266756,0.98354355840308,0.311145426212188
"13274","GALGAL-R14861",0.0423939210232669,0.0535296510910626,0.0544305512258276,0.0307512281433605
"13275","GALGAL-R14862",0.0309491083757174,0.0115321920135591,0.00887995607432207,0.0340906919166508
"13276","GALGAL-R14863",0.448921042253509,0.516619933120083,0.238688212982262,0.257948258101169
"13277","GALGAL-R14864",0.113243804370607,0.279652702086189,0.0860807002319948,0.0965779960473814
"13278","GALGAL-R14865",8005.69915002818,48.0785944655218,17682520043890648,2.78344262688017e+23
