"gene","average_expression","expression_prop"
"GALGAL-R13725",1.05659011930271e+302,0.00715488215488216
"GALGAL-R04719",2.00232343285745e+290,0.00715488215488216
"GALGAL-R05749",9.86927338788774e+185,0.0300925925925926
"GALGAL-R16913",3.87691079582841e+176,0.00736531986531987
"GALGAL-R01736",4.20539073614151e+154,0.347643097643098
"GALGAL-R14006",1.39159435757972e+134,0.975378787878788
"GALGAL-R03230",4.0910046983906e+132,1
"GALGAL-R05108",1.05114506648966e+125,1
"GALGAL-R08193",8.27553301134103e+112,0.65256734006734
"GALGAL-R08465",3.53073069458618e+110,0.00925925925925926
"GALGAL-R16083",2.82093351994429e+106,0.999579124579125
"GALGAL-R02026",1.4675012763815e+94,0.557449494949495
"GALGAL-R04179",5.31185211036531e+87,0.999789562289562
"GALGAL-R09364",4.13292859550736e+87,0.998526936026936
"GALGAL-R00514",1.3127360351376e+85,1
"GALGAL-R05844",4.26034628520984e+81,0.0195707070707071
"GALGAL-R09369",1.45915946248458e+77,0.999789562289562
"GALGAL-R14845",1.68185281889762e+76,0.793981481481482
"GALGAL-R05140",3.78942488025195e+73,0.999789562289562
"GALGAL-R14882",1.86291969295938e+73,1
"GALGAL-R03979",1.39691793583721e+70,0.199915824915825
"GALGAL-R08727",3.75531851064486e+68,0.998947811447811
"GALGAL-R08472",6.60216754884718e+67,0.426136363636364
"GALGAL-R06040",5.91361663610251e+65,0.999158249158249
"GALGAL-R00049",2.07304796727224e+65,0.999368686868687
"GALGAL-R16626",4.80715806383075e+64,0.309974747474747
"GALGAL-R12443",1.80464606061956e+63,0.997685185185185
"GALGAL-R14512",2.87964589285195e+62,0.937079124579125
"GALGAL-R13449",1.99461658153105e+62,0.996843434343434
"GALGAL-R03480",1.09367509917283e+62,0.99537037037037
"GALGAL-R10256",7.9342122730378e+61,0.999158249158249
"GALGAL-R04414",3.79818151331465e+61,0.998316498316498
"GALGAL-R07053",1.69557034046192e+61,0.999368686868687
"GALGAL-R09043",1.04237911143655e+61,0.999579124579125
"GALGAL-R12335",2.13824441103604e+60,0.999789562289562
"GALGAL-R10662",1.77940554613058e+60,0.999158249158249
"GALGAL-R02041",1.05038236749768e+60,0.999368686868687
"GALGAL-R16371",6.72724778503198e+59,0.995580808080808
"GALGAL-R13655",2.37570878303746e+59,0.998316498316498
"GALGAL-R02017",1.23191880024153e+59,1
"GALGAL-R03179",2.7301012897413e+58,0.218644781144781
"GALGAL-R07294",1.57267264685586e+57,0.0406144781144781
"GALGAL-R15397",9.24683019793757e+56,0.998737373737374
"GALGAL-R11383",1.8718836677419e+56,0.999789562289562
"GALGAL-R06687",1.6025968197893e+56,0.999579124579125
"GALGAL-R01865",2.16312491372214e+55,0.998947811447811
"GALGAL-R12323",1.24648325632393e+54,0.998526936026936
"GALGAL-R00155",2.18349551864352e+53,1
"GALGAL-R00387",1.99269527053576e+53,0.705597643097643
"GALGAL-R15254",4.57558543457333e+52,0.998947811447811
"GALGAL-R11895",2.88333837441141e+52,0.992213804713805
"GALGAL-R16413",3.64484997323182e+51,0.997895622895623
"GALGAL-R08971",1.3456377676113e+51,0.349537037037037
"GALGAL-R08453",1.74151707373465e+50,0.998737373737374
"GALGAL-R00142",2.39068816121388e+49,0.997474747474748
"GALGAL-R08210",2.20081075392919e+49,0.894360269360269
"GALGAL-R03999",1.69955549989588e+49,0.999158249158249
"GALGAL-R06838",1.33807194488504e+49,0.998526936026936
"GALGAL-R01519",8.64456859312813e+48,0.131734006734007
"GALGAL-R09595",3.71065403939556e+48,0.999368686868687
"GALGAL-R11164",1.13475006792786e+48,0.996212121212121
"GALGAL-R01741",1.00399783647184e+48,0.782407407407407
"GALGAL-R09516",2.59526666929233e+47,0.994949494949495
"GALGAL-R09946",1.99284542712713e+46,0.300084175084175
"GALGAL-R06205",1.94425616749856e+46,0.99726430976431
"GALGAL-R12462",8.86460058856072e+45,0.998106060606061
"GALGAL-R03215",5.09136914576402e+45,0.992213804713805
"GALGAL-R14376",2.70295050187432e+45,0.353745791245791
"GALGAL-R09065",2.05547803773157e+45,0.757575757575758
"GALGAL-R05672",6.49685367328229e+44,0.998106060606061
"GALGAL-R12489",6.34610998227418e+44,0.982112794612795
"GALGAL-R08816",5.31782574582153e+44,0.996632996632997
"GALGAL-R12486",2.15874132386774e+44,0.995580808080808
"GALGAL-R04129",6.12352529819152e+43,0.372895622895623
"GALGAL-R04136",4.51363497033988e+43,0.0444023569023569
"GALGAL-R16945",3.38223699486376e+43,0.998526936026936
"GALGAL-R03546",7.79174762867941e+42,0.496001683501683
"GALGAL-R15328",3.52102361083281e+42,0.998526936026936
"GALGAL-R06612",2.09251226493646e+41,0.997685185185185
"GALGAL-R09958",2.00540506033746e+41,0.997895622895623
"GALGAL-R02700",1.6612545040146e+41,0.999579124579125
"GALGAL-R15083",1.36750044304602e+41,0.997474747474748
"GALGAL-R04445",1.06245368826487e+41,0.999368686868687
"GALGAL-R02545",7.49481085102647e+40,0.998526936026936
"GALGAL-R12343",3.13722144390315e+40,0.142045454545455
"GALGAL-R08516",3.01897257793269e+40,0.118476430976431
"GALGAL-R00098",2.02103060039369e+40,0.998526936026936
"GALGAL-R06889",8.1877892188314e+39,0.685395622895623
"GALGAL-R10421",4.31866267223401e+39,0.996212121212121
"GALGAL-R16877",2.74065846518925e+39,0.998526936026936
"GALGAL-R03087",2.64840614056396e+39,0.893097643097643
"GALGAL-R13385",2.13746445273328e+39,0.999579124579125
"GALGAL-R03327",1.82788623292826e+39,0.472222222222222
"GALGAL-R14531",1.13595613015144e+39,0.000631313131313131
"GALGAL-R10183",6.35361810795097e+38,0.728745791245791
"GALGAL-R11634",2.13225747302508e+38,0.987373737373737
"GALGAL-R10841",1.42814623511123e+38,0.994949494949495
"GALGAL-R07807",4.68208423928206e+37,0.00946969696969697
"GALGAL-R12073",4.27475603330431e+37,0.99726430976431
"GALGAL-R14659",7.82567874547812e+36,0.998737373737374
"GALGAL-R02743",3.18700296242102e+36,0.998106060606061
"GALGAL-R14827",2.01474116230564e+36,0.287878787878788
"GALGAL-R08278",1.72400177581673e+36,0.523569023569024
"GALGAL-R15129",9.02582841297771e+35,0.991372053872054
"GALGAL-R12623",7.39157385103094e+35,0.867845117845118
"GALGAL-R12371",4.43002638244149e+35,0.941498316498317
"GALGAL-R05509",4.19639555120582e+35,0.015993265993266
"GALGAL-R06692",2.16471540124248e+35,0.863846801346801
"GALGAL-R12396",1.92729900692066e+35,0.35753367003367
"GALGAL-R03787",5.9119344747657e+34,0.745791245791246
"GALGAL-R10417",2.88355012174977e+34,0.364267676767677
"GALGAL-R08914",9.70706585331732e+33,0.195707070707071
"GALGAL-R13226",7.65119520414593e+33,0.995580808080808
"GALGAL-R07575",7.15739180333293e+33,0.895412457912458
"GALGAL-R03555",1.40360523739678e+33,0.139099326599327
"GALGAL-R08348",1.27215516011259e+33,0.671717171717172
"GALGAL-R13164",6.12852910317653e+32,0.997895622895623
"GALGAL-R08909",4.52505076664535e+32,0.908459595959596
"GALGAL-R13991",4.43113879989119e+32,0.996422558922559
"GALGAL-R06202",3.46322446895358e+32,0.00505050505050505
"GALGAL-R01003",3.26837811406707e+32,0.89246632996633
"GALGAL-R11558",1.64618328857012e+32,0.997685185185185
"GALGAL-R14786",2.02567056364967e+31,0.46043771043771
"GALGAL-R01127",2.01794320111697e+31,0.999368686868687
"GALGAL-R01997",1.57353884379877e+31,0.195707070707071
"GALGAL-R10080",1.1500019937308e+31,0.222222222222222
"GALGAL-R07712",9.66912150919013e+30,0.993686868686869
"GALGAL-R00997",9.47783166101302e+30,0.992845117845118
"GALGAL-R15793",4.93196820951503e+30,0.946969696969697
"GALGAL-R15711",1.94004036760808e+30,0.234006734006734
"GALGAL-R09291",1.52359975050082e+30,0.998947811447811
"GALGAL-R14964",9.3544896518774e+29,0.535984848484849
"GALGAL-R02959",3.45362852834556e+29,0.0692340067340067
"GALGAL-R02783",3.26045771315339e+29,0.995791245791246
"GALGAL-R14246",1.67579419594643e+29,0.106271043771044
"GALGAL-R12044",1.48216439195931e+29,0.114267676767677
"GALGAL-R12750",6.42319487212333e+28,0.133838383838384
"GALGAL-R09283",5.19867414467951e+28,0.177819865319865
"GALGAL-R03657",4.90473933420726e+28,0.603956228956229
"GALGAL-R04037",4.59386562021585e+28,0.0338804713804714
"GALGAL-R15308",3.72541675440555e+28,0.743265993265993
"GALGAL-R12672",3.50152371597273e+28,0.428030303030303
"GALGAL-R15748",3.02813199031775e+28,0.295664983164983
"GALGAL-R06790",2.62121382320541e+28,0.999368686868687
"GALGAL-R01268",2.53522336193764e+28,0.168350168350168
"GALGAL-R14098",2.31302426838374e+28,0.988846801346801
"GALGAL-R15926",1.44014175090126e+28,0.502104377104377
"GALGAL-R05085",1.33972742486961e+28,0.153829966329966
"GALGAL-R11883",9.78204238224815e+27,0.480008417508417
"GALGAL-R03260",8.84787491747557e+27,0.790614478114478
"GALGAL-R06802",8.70712472654756e+27,0.992845117845118
"GALGAL-R06238",5.97888672339677e+27,0.978114478114478
"GALGAL-R08757",5.7009340122758e+27,0.708754208754209
"GALGAL-R09422",3.69258838567679e+27,0.458333333333333
"GALGAL-R14557",2.95299868867974e+27,0.368897306397306
"GALGAL-R10220",1.52816065358841e+27,0.452861952861953
"GALGAL-R09125",1.12846329611162e+27,0.99726430976431
"GALGAL-R05403",1.12591789454763e+27,0.25547138047138
"GALGAL-R07681",9.62605385521119e+26,0.226220538720539
"GALGAL-R03699",8.39125544307077e+26,0.26010101010101
"GALGAL-R15939",3.44139774806464e+26,0.28219696969697
"GALGAL-R14572",2.52419777849878e+26,0.206649831649832
"GALGAL-R10488",2.20535983099749e+26,0.161405723905724
"GALGAL-R01782",2.036731369696e+26,0.251893939393939
"GALGAL-R05148",1.51158926625426e+26,0.238425925925926
"GALGAL-R01526",1.40569108321616e+26,0.606902356902357
"GALGAL-R10142",1.17306197933191e+26,0.283249158249158
"GALGAL-R13016",1.141722539638e+26,0.996001683501683
"GALGAL-R11147",1.02772665053678e+26,0.50736531986532
"GALGAL-R02390",9.09919072451217e+25,0.207491582491583
"GALGAL-R12700",5.17692522257824e+25,0.568813131313131
"GALGAL-R10392",1.9517943249413e+25,0.994949494949495
"GALGAL-R04125",1.24610924506607e+25,0.149621212121212
"GALGAL-R10602",1.18529395549441e+25,0.939393939393939
"GALGAL-R14627",8.8407002406023e+24,0.17276936026936
"GALGAL-R11783",7.85473892222842e+24,0.777777777777778
"GALGAL-R13370",3.35385538121554e+24,0.226220538720539
"GALGAL-R01599",3.34244255017664e+24,0.0896464646464646
"GALGAL-R05899",2.4230654384678e+24,0.766414141414141
"GALGAL-R10077",1.83462446701357e+24,0.083543771043771
"GALGAL-R08255",1.64096801627632e+24,0.0633417508417508
