"gene","average_expression","expression_prop"
"GALGAL-R08465",1.78663108263623e+260,0.00916104146576664
"GALGAL-R04179",7.28668845746773e+206,1
"GALGAL-R13931",2.97255573351914e+205,0.596432015429122
"GALGAL-R08432",2.18033292703795e+187,0.0101253616200579
"GALGAL-R16083",1.40960081272103e+151,1
"GALGAL-R05108",4.79135656630255e+148,0.999517839922854
"GALGAL-R16931",2.55109137588902e+142,0.0998071359691418
"GALGAL-R12892",4.78976995981135e+136,0.0414657666345227
"GALGAL-R13725",9.36952374709469e+135,0.00433944069431051
"GALGAL-R03230",7.58437205762121e+114,1
"GALGAL-R10616",9.91776396719219e+102,0.694310511089682
"GALGAL-R12468",1.0037599584478e+99,0.00867888138862102
"GALGAL-R07807",1.02441186297972e+91,0.0332690453230473
"GALGAL-R02026",3.18868871751502e+88,0.607521697203472
"GALGAL-R08472",3.14788354403674e+86,0.753134040501447
"GALGAL-R01736",1.52034077263323e+79,0.16152362584378
"GALGAL-R05749",4.68534198538199e+78,0.0675024108003857
"GALGAL-R08210",3.52192041639259e+69,0.69672131147541
"GALGAL-R16479",1.25983162913862e+68,0.20443587270974
"GALGAL-R01741",8.41519417219125e+65,0.75168756027001
"GALGAL-R07772",2.08125188001256e+63,0.537126325940212
"GALGAL-R07681",2.05689924576048e+63,0.23625843780135
"GALGAL-R06202",6.7837582581164e+60,0.0848601735776278
"GALGAL-R14845",1.0117486182047e+59,0.631147540983607
"GALGAL-R12343",1.0117486180902e+59,0.1374156219865
"GALGAL-R03979",6.3209593758918e+58,0.0761812921890068
"GALGAL-R05650",2.11794515142481e+58,0.0573770491803279
"GALGAL-R09362",1.09766304844802e+58,0.0641272902603664
"GALGAL-R14376",5.60645218121252e+57,0.392960462873674
"GALGAL-R10967",2.84584814818446e+55,0.248794599807136
"GALGAL-R06692",1.9536763372449e+55,0.890549662487946
"GALGAL-R08348",4.29309569113904e+51,0.757473481195757
"GALGAL-R12750",2.15577866574427e+51,0.409836065573771
"GALGAL-R11245",3.87413295468714e+50,0.313886210221794
"GALGAL-R00107",3.65211209844091e+50,0.350048216007715
"GALGAL-R14865",7.81868298797699e+49,0.288331726133076
"GALGAL-R00387",9.667088992693e+47,0.604146576663452
"GALGAL-R07880",1.70685670996842e+46,0.0279652844744455
"GALGAL-R01580",3.12916012770533e+44,0.370781099324976
"GALGAL-R08971",2.67392404028927e+44,0.259884281581485
"GALGAL-R08773",1.19636634389694e+43,0.0568948891031823
"GALGAL-R13546",1.0303972579524e+42,0.0274831243972999
"GALGAL-R15133",8.50147463054173e+40,0.0327868852459016
"GALGAL-R06889",8.25207990609603e+40,0.351494696239151
"GALGAL-R10782",2.93774951989275e+39,0.0188042430086789
"GALGAL-R10077",2.38134838047599e+38,0.125361620057859
"GALGAL-R05616",2.0952469678405e+38,0.110896817743491
"GALGAL-R03327",1.43689705543842e+38,0.410800385728062
"GALGAL-R04136",8.87220212943406e+37,0.116200578592093
"GALGAL-R01656",3.55220173644736e+37,0.726133076181292
"GALGAL-R15252",3.42582874934325e+37,0.870781099324976
"GALGAL-R12362",7.8639958570304e+36,0.118611378977821
"GALGAL-R13370",4.36354165651985e+35,0.136451301832208
"GALGAL-R15079",3.30574193213291e+35,0.624879459980714
"GALGAL-R03546",2.92427224345944e+35,0.324493731918997
"GALGAL-R01782",1.18037565700189e+35,0.274349083895853
"GALGAL-R03787",1.29819249334064e+34,0.887656702025072
"GALGAL-R08732",7.82068470558475e+33,0.206364513018322
"GALGAL-R09065",6.82702171134823e+33,0.707810993249759
"GALGAL-R01668",6.78713070311037e+33,0.284474445515911
"GALGAL-R08193",5.042742153375e+32,0.433944069431051
"GALGAL-R03149",4.16722321408501e+32,0.347155255544841
"GALGAL-R08270",2.94896785965087e+32,0.319189971070395
"GALGAL-R12396",1.67049235333876e+32,0.613789778206364
"GALGAL-R11147",4.12642055661027e+31,0.380906460945034
"GALGAL-R15756",2.41754505632493e+31,0.406943105110897
"GALGAL-R10220",1.0254020910647e+31,0.324493731918997
"GALGAL-R03228",6.6575455940936e+30,0.347155255544841
"GALGAL-R13453",6.14459737209629e+30,0.479267116682739
"GALGAL-R16138",9.7769605933027e+29,0.0703953712632594
"GALGAL-R05274",5.21480275932686e+29,0.101735776277724
"GALGAL-R16448",3.08126347002829e+29,0.671648987463838
"GALGAL-R05899",1.75613477033154e+29,0.759402121504339
"GALGAL-R11482",1.43318129410472e+29,0.0978784956605593
"GALGAL-R15939",1.26993750371058e+29,0.434426229508197
"GALGAL-R09983",1.24116263413228e+29,0.392478302796528
"GALGAL-R03260",1.09267718460211e+29,0.635004821600771
"GALGAL-R14246",1.08865659962157e+29,0.130183220829315
"GALGAL-R04279",1.06214171222763e+29,0.570395371263259
"GALGAL-R05450",8.88904357899399e+28,0.368370298939248
"GALGAL-R17578",3.68822817469581e+28,0.448408871745419
"GALGAL-R10417",2.62533109369032e+28,0.402603664416586
"GALGAL-R14827",2.20459044035972e+28,0.242044358727097
"GALGAL-R16626",1.91814517064326e+28,0.150433944069431
"GALGAL-R02959",1.63459279843164e+28,0.0491803278688525
"GALGAL-R05863",1.46902597914243e+28,0.665380906460945
"GALGAL-R10657",1.14863789648179e+28,0.114754098360656
"GALGAL-R00727",6.00152405676144e+27,0.406943105110897
"GALGAL-R03569",4.49376477073186e+27,0.495660559305689
"GALGAL-R12981",1.69569772428589e+27,0.360655737704918
"GALGAL-R14964",1.07422554047527e+27,0.33847637415622
"GALGAL-R11419",4.91615746559018e+26,0.00867888138862102
"GALGAL-R10142",3.49883152593209e+26,0.296046287367406
"GALGAL-R15728",3.37009750972898e+26,0.601253616200579
"GALGAL-R10080",3.19919374864423e+26,0.299903567984571
"GALGAL-R12692",2.76298316391048e+26,0.217454194792671
"GALGAL-R14512",2.11238130984082e+26,0.851494696239151
"GALGAL-R02027",1.15463284554869e+26,0.32642237222758
"GALGAL-R12044",9.15104996950951e+25,0.116200578592093
"GALGAL-R05477",7.79348017160575e+25,0.300867888138862
"GALGAL-R01097",4.69431911947256e+25,0.0713596914175506
"GALGAL-R05403",2.70717082604211e+25,0.251205400192864
"GALGAL-R08811",2.61958204059766e+24,0.023625843780135
"GALGAL-R08175",2.55568260114146e+24,0.571841851494696
"GALGAL-R03179",1.85056886253489e+24,0.246383799421408
"GALGAL-R05936",1.38426618020954e+24,0.191899710703954
"GALGAL-R03817",1.32423192994822e+24,0.679363548698168
"GALGAL-R16742",1.15750322385083e+24,0.119575699132112
"GALGAL-R14627",8.06613355476548e+23,0.119575699132112
"GALGAL-R15308",5.1002872586796e+23,0.659594985535198
"GALGAL-R08274",4.22326111480283e+23,0.414657666345227
"GALGAL-R01289",2.44603688782078e+23,0.375120540019286
"GALGAL-R05884",1.81685624204074e+23,0.0376084860173578
