"","Type","background","pvalue","oddvalue","Simulate"
"88","highvar","random_test","0.0756157168310538","1.14519990463066","18"
"89","specific.ob","random_test","0.150987174048923","1.08482710639767","18"
"90","DEG","random_test","0.863473669154933","0.952228628820945","18"
"91","cpm","random_test","0.71144969895375","0.976297846055455","19"
"92","highexp","random_test","0.383528074747992","1.01695267560591","19"
"93","highvar","random_test","0.243933758809191","1.07056344352548","19"
"94","specific.ob","random_test","0.955349163419158","0.875805282086478","19"
"95","DEG","random_test","0.753865252604473","0.970188753967532","19"
"96","cpm","random_test","0.420508238519366","1.00989673882895","20"
"97","highexp","random_test","0.487030612304611","1.0029283476764","20"
"98","highvar","random_test","0.215669786903076","1.07976789078329","20"
"99","specific.ob","random_test","0.488024186463545","1.00480886289509","20"
"100","DEG","random_test","0.739323945349839","0.972199295736818","20"
"101","cpm","random_test","0.664096325049461","0.982164656517801","21"
"102","highexp","random_test","0.821460616639978","0.953410537941541","21"
"103","highvar","random_test","0.702652969437614","0.954048823798594","21"
"104","specific.ob","random_test","0.36698495721118","1.02912038975768","21"
"105","DEG","random_test","0.36079935825727","1.01721343293459","21"
"106","cpm","random_test","0.147875543883572","1.04847168739091","22"
"107","highexp","random_test","0.0809601769607089","1.07715126007804","22"
"108","highvar","random_test","0.189443275258006","1.08900779224984","22"
"109","specific.ob","random_test","0.916420971329198","0.898683172124427","22"
"110","DEG","random_test","0.184380219640379","1.04238163660214","22"
"111","cpm","random_test","0.795523277162581","0.964642679767211","23"
"112","highexp","random_test","0.882379279555296","0.939910174195095","23"
"113","highvar","random_test","0.993349277682311","0.785649925387555","23"
"114","specific.ob","random_test","0.749228801338873","0.951062189394761","23"
"115","DEG","random_test","0.574293732418464","0.992471243897612","23"
"116","cpm","random_test","0.881722092315326","0.949263655506219","24"
"117","highexp","random_test","0.550112817269759","0.994570272424794","24"
"118","highvar","random_test","0.668865135393277","0.962812508648932","24"
"119","specific.ob","random_test","0.669035855400357","0.968835754080244","24"
"120","DEG","random_test","0.794768232337631","0.964175155131316","24"
"121","cpm","random_test","0.526619354123206","0.997938545972358","25"
"122","highexp","random_test","0.205477142351916","1.04535863148263","25"
"123","highvar","random_test","0.668865135393277","0.962812508648932","25"
"124","specific.ob","random_test","0.518999294120865","0.998773445362171","25"
"125","DEG","random_test","0.50238242658231","1.00066552708637","25"
"126","cpm","random_test","0.437996807204356","1.00789558562098","26"
"127","highexp","random_test","0.466012824946772","1.00572375952992","26"
"128","highvar","random_test","0.843981848628066","0.910770915522976","26"
"129","specific.ob","random_test","0.258375169611172","1.05370581330493","26"
"130","DEG","random_test","0.753865252604473","0.970188753967532","26"
"131","cpm","random_test","0.526619354123206","0.997938545972358","27"
"132","highexp","random_test","0.612019058081127","0.986249281981609","27"
"133","highvar","random_test","0.765187019829064","0.936678180466874","27"
"134","specific.ob","random_test","0.640261380478966","0.97479169739669","27"
"135","DEG","random_test","0.949805181256364","0.928654535386046","27"
"136","cpm","random_test","0.842461901601153","0.956930266731993","28"
"137","highexp","random_test","0.632131728289437","0.983484368437682","28"
"138","highvar","random_test","0.306126753768299","1.05226036594109","28"
"139","specific.ob","random_test","0.640261380478966","0.97479169739669","28"
"140","DEG","random_test","0.574293732418464","0.992471243897612","28"
"141","cpm","random_test","0.913523030909917","0.941642542884267","29"
"142","highexp","random_test","0.760682989899601","0.964309602492469","29"
"143","highvar","random_test","0.932458524192693","0.868282001312888","29"
"144","specific.ob","random_test","0.610702185143374","0.980763405745188","29"
"145","DEG","random_test","0.66063044986679","0.98229729606943","29"
"146","cpm","random_test","0.526619354123206","0.997938545972358","30"
"147","highexp","random_test","0.529139211332863","0.99735163202413","30"
"148","highvar","random_test","0.702652969437614","0.954048823798594","30"
"149","specific.ob","random_test","0.258375169611172","1.05370581330493","30"
"150","DEG","random_test","0.538488936265826","0.996562230127866","30"
"151","cpm","random_test","0.596835070843789","0.990028044455935","31"
"152","highexp","random_test","0.726546503215493","0.969723373818554","31"
"153","highvar","random_test","0.485224563594019","1.0071140031018","31"
"154","specific.ob","random_test","0.796462574116016","0.939352410399979","31"
"155","DEG","random_test","0.295538599881236","1.02556969663287","31"
"156","cpm","random_test","0.259256213390345","1.03008855958415","32"
"157","highexp","random_test","0.19086574976589","1.04822566677936","32"
"158","highvar","random_test","0.560403807802815","0.989296145542093","32"
"159","specific.ob","random_test","0.669035855400357","0.968835754080244","32"
"160","DEG","random_test","0.44830301469108","1.00684534739668","32"
"161","cpm","random_test","0.473314057070819","1.00390306557986","33"
"162","highexp","random_test","0.445097124205199","1.00852389042046","33"
"163","highvar","random_test","0.633706297712217","0.97160822395472","33"
"164","specific.ob","random_test","0.36698495721118","1.02912038975768","33"
"165","DEG","random_test","0.574293732418464","0.992471243897612","33"
"166","cpm","random_test","0.420508238519366","1.00989673882895","34"
"167","highexp","random_test","0.176914807636722","1.05109754236665","34"
"168","highvar","random_test","0.165313729543598","1.09828328918616","34"
"169","specific.ob","random_test","0.169638068441937","1.07856797303101","34"
"170","DEG","random_test","0.988774774248389","0.901679504397197","34"
"171","cpm","random_test","0.420508238519366","1.00989673882895","35"
"172","highexp","random_test","0.591608989567555","0.989018443230348","35"
"173","highvar","random_test","0.447760062478179","1.01607388768719","35"
"174","specific.ob","random_test","0.610702185143374","0.980763405745188","35"
"175","DEG","random_test","0.36079935825727","1.01721343293459","35"
"176","cpm","random_test","0.831445615199954","0.958854064181934","36"
"177","highexp","random_test","0.383528074747992","1.01695267560591","36"
"178","highvar","random_test","0.447760062478179","1.01607388768719","36"
"179","specific.ob","random_test","0.998162371943054","0.792207911886573","36"
"180","DEG","random_test","0.807454303566409","0.96217661439093","36"
"181","cpm","random_test","0.579476861710243","0.992001240701527","37"
"182","highexp","random_test","0.253147392979718","1.03678648398944","37"
"183","highvar","random_test","0.5228839439639","0.998188551403908","37"
"184","specific.ob","random_test","0.796462574116016","0.939352410399979","37"
"185","DEG","random_test","0.556447310672057","0.994515202846416","37"
"186","cpm","random_test","0.245063641730168","1.0321258515449","38"
"187","highexp","random_test","0.508092285066742","1.00012208521548","38"
"188","highvar","random_test","0.5228839439639","0.998188551403908","38"
"189","specific.ob","random_test","0.0904665588723138","1.11003950479735","38"
"190","DEG","random_test","0.0687452640514286","1.07019073293638","38"
"191","cpm","random_test","0.782608396546393","0.966577975286967","39"
"192","highexp","random_test","0.591608989567555","0.989018443230348","39"
"193","highvar","random_test","0.702652969437614","0.954048823798594","39"
"194","specific.ob","random_test","0.873712771216145","0.916007213166728","39"
"195","DEG","random_test","0.0749139598292636","1.06803246612945","39"
"196","cpm","random_test","0.755420576835204","0.970457230541589","40"
"197","highexp","random_test","0.919266708238867","0.929195807198241","40"
"198","highvar","random_test","0.954392435848227","0.851508116972917","40"
"199","specific.ob","random_test","0.640261380478966","0.97479169739669","40"
"200","DEG","random_test","0.949805181256364","0.928654535386046","40"
"201","cpm","random_test","0.319997550750549","1.02197239270893","41"
"202","highexp","random_test","0.107181865877619","1.06843091454804","41"
"203","highvar","random_test","0.123387784175257","1.11694165303662","41"
"204","specific.ob","random_test","0.36698495721118","1.02912038975768","41"
"205","DEG","random_test","0.222646297242878","1.03602711934805","41"
"206","cpm","random_test","0.192723914172133","1.04024208148829","42"
"207","highexp","random_test","0.743908128095628","0.966983860988279","42"
"208","highvar","random_test","0.885659924057867","0.893679595110623","42"
"209","specific.ob","random_test","0.0428720290354215","1.1419546219523","42"
"210","DEG","random_test","0.430445199439994","1.00891211681934","42"
"211","cpm","random_test","0.561965546507089","0.993977386431742","43"
"212","highexp","random_test","0.270253008510115","1.03393872669906","43"
"213","highvar","random_test","0.243933758809191","1.07056344352548","43"
"214","specific.ob","random_test","0.796462574116016","0.939352410399979","43"
